英超20强次贷危机明细阿布损失12亿 曼联枪手很安全
　　记者陆逸报道 最近俄罗斯股票交易市场的崩盘，让位于英超最富有之列的阿布拉莫维奇如坐针毡，他的个人资产瞬间少了12亿英镑。所以，很容易理解英足总主席特里斯曼爵士对目前英超负债运作的担忧。更进一步，很多球队的贵宾席在下赛季可能会空了不少，减少的付费电视覆盖率也意味着下一次的电视转播费用将面临下调的可能。下面这个列表可以大致看出这次金融危机对各大豪门的影响。
　　阿森纳 球队目前负债2.68亿英镑，但酋长球场疯狂的上座率能保证俱乐部正常的资金流。拥有部分股份的俄罗斯富商乌斯曼诺夫在这次俄罗斯股票交易市场危机中损失了70亿英镑。另外，如今地产业的滑坡也可能影响到俱乐部海布利旧址的房地产计划。 
　　阿斯顿维拉 拥有6300万英镑的负债，但维拉公园稳定的上座率也让这支球队不用过于担心债务的困扰。主席兰迪·勒纳8亿英镑的身家，同样在次贷危机中没受到太大的损失。 
　　布莱克本 在英超来说，布莱克本的债务状况绝对良好，目前仅负债2000万英镑，而且工资结构很合理。所有者沃尔克家族一直稳定地给球队注资。 
　　切尔西 上周俄罗斯股票交易市场暴跌后，据俄罗斯媒体称阿布拉莫维奇损失了12亿英镑。虽然数据略有夸大，而且俱乐部坚持称石油寡头的损失并不会引发破产，但主席布克暗示不少球员可以出售，也说明切尔西已经今非昔比。 
　　埃弗顿 债务、工资都没有太大问题，但主席肯奈特早在次贷危机之前就开始寻找买家了。不管如何，在科克比建造新球场的计划，都会因为目前建筑行业的困难而推迟。 
　　富勒姆 穆罕默德·阿尔·法耶兹个人资产没有受到影响，哈罗德百货的年营业额创下新高：6.88亿英镑。但富勒姆麻烦不小，负债在中小球队中绝对属于危险一列，高达1.81亿英镑的债务意味球队不得不支付高额利息，已经遭遇次贷危机中普遍的资金周转问题。 
　　赫尔城 少数几家没有债务困扰的英超俱乐部，主席保罗·达芬坚持小本经营，目前球队无论竞技和经济的层面都让球迷放心。 
　　利物浦 俱乐部从美联银行和苏格兰皇家银行借款3.5亿英镑，这笔资金在明年必须偿还或者寻找再融资的办法。球队在斯坦利公园新球场的计划已经搁浅。 
　　曼城 油价下跌了，但新老板纳哈扬家族拥有让人羡慕的国家财富，曼城暂时是很安全的。 
　　曼联 负债超过6亿英镑，但格雷泽尔家族坚称球队运作良好。他们的胸前广告赞助商AIG已经被国家挽救，但即使要寻找新的赞助商也不是一件难事。 
　　米德尔斯堡 俱乐部负债8500万英镑，但大部分都是所有者史蒂夫·吉布森私人借款，因此不用担心因无法偿还债务被银行抵押。吉布森是米堡的铁杆球迷，他现在需要担忧的问题是俱乐部暴增的工资，如今已高达每年4000万英镑。 
　　纽卡斯尔 伦敦股票交易市场的灾难，意味着迈克·阿什利损失了3亿英镑。他现在迫切的希望把纽卡出售，但目前着急兜售的心态，也迫使他将球队从4.8亿镑的定价降低到了3亿镑———刚好弥补他这两周的损失。 
　　朴茨茅斯 高达年营业额90%的工资结构，是主席小盖达马克最担忧的一环。他已开始考虑，自己是否有能力维持俱乐部的日常运作，尤其是地产和股票市场正面临自1929年来的最大危机。 
　　斯托克城 和破产相比，降级可能是斯托克城更大的威胁。老板彼特·科斯特斯个人资产只有2亿英镑，无法和联盟内的大部分所有者相提并论，不过小本经营的理念，也保证这家球队没有受到太大的债务困扰。 
　　桑德兰 主席奎因和他背后的爱尔兰财团也没有依靠债务经营球队，但他们的问题是“只制订两年的计划”(主席奎因透露)。长期性和稳定性是桑德兰球迷需要担忧的。 
　　热刺 乔尔·刘易斯在贝尔斯登破产一案中损失5亿英镑。但球队并没有太大的债务问题，所以出售俱乐部并不是当务之急。不过，刘易斯的财务困境难免会吸引一些投资商坐到谈判桌前。 
　　西布朗 债务微乎其微，所以现在大部分的精力不在次贷危机、而在保级之上。 
　　西汉姆 冰岛银行被国家接管，让古德姆森遭受了2.3亿英镑的损失。除此之外，冰岛经济已进入冷峭的寒冬，古德姆森很可能会从海外撤资。 
　　维冈 球队的债务有5400万英镑，另外JJB的股票从去年开始就逐渐滑落，主席惠兰出售了大部分的股票，也是次贷危机的受害者。

