欧冠不败排行榜曼联巴萨3创奇迹 前10无皇马米兰双雄
　　2009年2月24日，红魔做客梅阿查挑战意甲领头羊国际米兰，这场弗格森和穆里尼奥之间的较量早就被吵得沸沸扬扬。出人意料的是，造访亚平宁的曼联反客为主，在绝大部分时间内都将国际米兰压得喘不过气来。本场比赛的平局不但让曼联在与国际米兰的争夺中获得了有利的位置，也让红魔超越了阿贾克斯和拜仁慕尼黑此前创造的欧冠19场不败纪录，正式登顶第一。事实上，这也是红魔在历史上第三次创造不败神话的壮举。
　　拜仁慕尼黑此前的19场不败也让全欧洲人所侧目，他们只是在2001-02赛季客场0比2不敌当时如日中天的皇马，而阿贾克斯的纪录终结则让人有些哭笑不得，因为他们居然在自己的主场1球不敌来自希腊的帕纳辛纳科斯。
　　来自英超的切尔西虽然榜上无名，但却是当之无愧的巴萨杀手，2006-07赛季，正是穆里尼奥让巴萨吞下了失利的苦果，而这一场比赛也成为了穆里尼奥嘲讽里杰卡尔德的资本。自1998年创下14场不败纪录的巴萨可谓是雄心勃勃，但做客斯坦福桥时还是1比3不敌蓝军，当时的切尔西由于还没有俄罗斯富豪的财富后盾，以鱼腩身份绊倒豪门更是难能可贵。
　　在欧冠呼风唤雨多年的AC米兰同样没有创造壮举的历史，但里昂的14场不败正是被米兰人残忍地终结，2005-06赛季，年轻的人法甲班霸被老练的AC米兰刺翻在地，他们也上了惨痛的一课。事实上，纪录的存在意义除了让人敬仰以外，也是后人所要打破和冲击的目标。曼联的不失球纪录已然告破。不知道已经彻底释放出王者霸气的曼联在欧冠的不败纪录还能持续多久，届时做客老特拉福德的国际米兰能一鼓作气么？
　　欧冠不败纪录排行榜 球队 战绩 持续时间
　　1、曼联 11胜9平 2007.9.19至今
　　2、阿贾克斯 14胜5平 1994.9.14-1996.4.3
　　3、拜仁慕尼黑 13胜6平 2001.3.14-2002.4.10
　　4、曼联 10胜6平 2001.10.23-2002.10.29
　　5、曼联 7胜9平 1998.3.4-1999.10.19
　　6、巴塞罗那 10胜5平 2005.9.14-2006.10.18
　　7、巴塞罗那 11胜3平 2002.5.1-2003.4.22
　　8、巴塞罗那 10胜4平 1998.11.25-2000.4.5
　　9、里昂 10胜4平 2004.12.8-2006.4.4
　　10、利物浦 8胜6平 2004.12.8-2006.2.21
　　注：数据截至2009年2月24日。

