升段赛第9轮宋容慧不敌王昊洋 檀啸升为五段(谱)
　　新浪体育讯　7月27日绍兴消息，2009年全国围棋段位赛升段组第9轮比赛战罢，焦点战中王昊洋战胜宋容慧，郭闻潮战胜赵守洵，李赫战胜王晨帆。本轮战罢檀啸、张策、陈浩三人成功升段。
　　2009沈园杯全国围棋段位赛第9轮升段名单：
　　檀啸 升五段 22局 总分1500平均分68.18
　　张策 升四段 12局 总分905平均分75.41
　　陈浩 升二段 8局 总分600平均分75
　　王昊洋执白对阵宋容慧。布局一开始双方就在上边展开了接触战，结果黑棋在中间走了一串单官，并不满意。之后左边的下法宋容慧又显得勉强，打劫转换之后王昊洋得到了右下角并且吃掉了右边白棋四子，形式已经倒向白棋。最后黑棋在左边放出了胜负手，孤注一掷要吃掉中央白棋，但是白棋轻松将两块孤棋做活，黑已无胜机。
　　2009沈园杯全国围棋段位赛第10轮对阵：
　　台次 编号 黑方 段位 编号 白方 段位 
　　1 7 赵守洵 五段   8 王昊洋 五段 
　　2 28 彭立尧 五段   31 郭闻潮 五段 
　　3 14 宋容慧 五段   23 檀 啸 五段 
　　4 32 邬光亚 五段   30 孟泰龄 四段 
　　5 21 韩 晗 四段   43 杨 冬 四段 
　　6 24 付 冲 四段   38 甘思阳 四段 
　　7 67 王迦南 四段   56 罗德隆 四段 
　　8 33 孙力 四段   70 孙腾宇 四段 
　　9 41 桂文波 四段   20 马笑冰 四段 
　　10 22 周 逵 四段   15 李华嵩 四段 
　　11 27 蓝 天 四段   50 张 策 四段 
　　12 26 陶 忻 四段   36 周振宇 四段 
　　13 55 潘 非 三段   29 赵哲伦 四段 
　　14 92 唐韦星 三段   51 王 玮 三段 
　　15 86 张亚博 三段   62 严 欢 三段 
　　16 42 陈潇楠 三段   61 张 涛 三段 
　　17 64 娄 玺 三段   45 贾依凡 三段 
　　18 44 潘文君 三段   47 孟 磊 三段 
　　19 46 佟禹林 三段   59 郑淼鑫 三段 
　　20 71 张 弛 三段   98 陶欣然 三段 
　　21 83 张 昊 三段   109 党毅飞 三段 
　　22 95 李豪杰 三段   58 秦悦欣 三段 
　　23 96 曹潇阳 三段   60 朱剑舜 三段 
　　24 107 连 笑 三段   48 刘云龙 三段 
　　25 68 方 昊 三段   66 胡跃峰 三段 
　　26 57 刘 曦 三段   35 庄 园 三段 
　　27 40 田 舟 三段   53 吴树浩 三段 
　　28 52 张宏杰 三段   65 王异新 三段 
　　29 54 汪 涛 三段   49 杨 潜 三段 
　　30 39 唐 兢 三段   63 许振宇 三段 
　　31 37 涂 清 三段   97 蒋 蔚 二段 
　　32 103 周贺玺 二段   99 吴 天 二段 
　　33 112 安冬旭 二段   153 国宇征 二段 
　　34 111 崔博东 二段   117 李轩豪 二段 
　　35 113 李章元 二段   76 杨啸天 二段 
　　36 79 唐 奕 二段   72 曹又尹 二段 
　　37 100 蒋辰中 二段   85 许斐然 二段 
　　38 106 王裕子 二段   102 陈 阳 二段 
　　39 73 韦明瑞 二段   108 戎 毅 二段 
　　40 82 滕 程 二段   87 李 聪 二段 
　　41 81 武 郡 二段   78 李东阳 二段 
　　42 89 张 强 二段   74 陶汉文 二段 
　　43 90 李 乐 二段   84 唐嘉隆 二段 
　　44 110 祁立鹤 二段   88 白光源 二段 
　　45 149 杜 阳 二段   123 范廷钰 二段 
　　46 155 赵宝龙 二段   150 耿文彬 二段 
　　47 91 陈栋如 二段   133 蔡碧涵 二段 
　　48 104 蔡 竞 二段   115 郑 岩 二段 
　　49 77 栾秋成 二段   93 袁 泽 二段 
　　50 114 刘 宇 二段   94 李 祝 二段 
　　51 119 陈 浩 二段   128 童梦成 二段 
　　52 122 李 铭 二段   80 范蔚菁 二段 
　　53 105 单子腾 二段   116 秦驰远 初段 
　　54 144 魏子翔 初段   124 陈润韬 初段 
　　55 141 何 鑫 初段   132 王倪乔 初段 
　　56 126 杨鼎新 初段   121 芈昱廷 初段 
　　57 125 李 赫 初段   136 蒋天棋 初段 
　　58 151 鲁 佳 初段   120 柯 洁 初段 
　　59 142 李小溪 初段   157 殷 鉴 初段 
　　60 143 马如龙 初段   140 王晨星 初段 
　　61 147 刘 彤 初段   154 王哲明 初段 
　　62 145 王 磐 初段   148 吴梓天 初段 
　　63 134 王香如 初段   129 王晨帆 初段 
　　64 131 胡然闵 初段   138 张 超 初段 
　　65 130 王钧琦 初段   135 谢少博 初段 
　　66 146 金 磊 初段   137 张 韬 初段 
　　(小草)

