吴江汾湖杯全国桥牌大师赛战罢 杨立新戴建明夺冠
　　新浪体育讯　北京时间11月8日，第一届“吴江汾湖杯”全国桥牌大师赛结束了最后两轮的争夺。结果来自国家队的杨立新/戴建明组合以微弱的优势夺冠，周家弘/戴建伟组合获得亚军，李杰/刘京组合获得第三名。女牌手中王文霏/刘逸倩成绩最好，最终取得了第六名。
　　第14轮比赛结束时，李杰/刘京以较大的优势领先，然而他们在最后一轮却遭遇了对手陈?国/曹雪良的顽强抵抗。此前陈?国/曹雪良排名倒数第三，但此轮比赛两人超水平发挥，打法极其精确，没有出现任何失误。李杰/刘京无可奈何，只能眼看着冠军与自己擦身而过。本轮惨败之后，李杰/刘京以536分的总分排名第三，仅落后冠军杨立新/戴建明3分，亚军周家弘/戴建伟2分。
　　本次比赛汇集了众多我国当前桥牌水平最高的选手，等级分前四名的牌手悉数出战。16对选手水平非常接近，冠军归属直到最后一轮才戏剧性地揭晓。
　　本次比赛最终排名及成绩
　　排名  姓名   总分
　　1 杨立新/戴建明 539
　　2 周家弘/戴建伟 538 
　　3 李杰/刘京 536
　　4 福中/赵杰 509
　　5 连若?/施豪军 500
　　6 王文霏/刘逸倩 478
　　7 田伟强/谢召彬 466
　　8 庄则军/王为民 458
　　9 古玲/张亚兰 457
　　10 阎茹/董永灵 454
　　11 郁红高/刘钧 425
　　12 孙铭/王宏利 407
　　13 陈?国/曹雪良 381
　　14 陶建华/张锟 380
　　15 沈佳祥/张邦祥 360
　　16 陈云龙/张伟 307
　　(周游)

