亚运国象女团预赛第5轮 中国大胜越南继续领跑
　　新浪体育讯　北京时间11月22日傍晚，在广州棋院进行的第16届亚运会女子国际象棋团体预赛结束了第五轮的较量。中国女队发挥出色，以3.5比0.5大胜实力不俗的越南队。目前，中国队与印度队同为四胜一平。中国队以局分优势继续位列积分榜榜首。
　　中国女队今天安排前四轮连续出场的黄茜休息。由侯逸凡、居文君、赵雪和王瑜出战越南女队。越南队则雪藏了老将阮氏清安，由四名年轻队员应战。
　　今天中国女队的整体发挥比昨天强很多。一台侯逸凡招法犀利执黑后走仅27回合得子战胜黄氏宝簪。二台居文君执白先行凭借凶狠的王翼攻击，仅26回合逼迫范黎韬元认输。昨天意外失手的三台赵雪今天执黑后走早早获得优势，并最终经过58回合在轻子残局中战胜阮氏梅?。四台王瑜先手与阮氏祥云弈和。
　　其他比赛中，印度女队3.5比0.5大胜蒙古队；乌兹别克斯坦队以2.5比1.5小胜伊朗队；孟加拉国队4比0大胜叙利亚队；卡塔尔队2.5比1.5战胜韩国队，休息了三天的前棋后诸宸今天出场轻松获胜。土库曼斯坦队2.5比1.5战胜约旦队。
　　第六轮比赛将于北京时间11月23日下午开始。中国女队将迎战乌兹别克斯坦队、印度队和越南队将分别对阵孟加拉国队和土库曼斯坦队。
　　值得一提的是，本次团体赛赛制已由原订的九轮瑞士制改为预赛、半决赛和决赛的形式。预赛为七轮瑞士制，预赛前四名将进行交叉淘汰的半决赛，获胜者进入决赛，争夺团体赛金牌。
　　女子国际象棋团体慢棋赛预赛积分前八名(截止第五轮)：
　　排名 国家 场分 局分
　　1 中国队 9.0 15.0
　　2 印度队 9.0 14.0
　　3 乌兹别克斯坦队 8.0 15.5
　　4 孟加拉国队 6.0 12.0
　　5 越南队 6.0 11.5
　　6 伊朗队 4.0 10.5
　　7 土库曼斯坦队 4.0 9.0
　　8 卡塔尔队 4.0 8.5
　　(塔尔)

