英国博彩公司看好伍兹夺冠 加西亚保尔特受追捧
　　新浪体育讯　北京时间7月15日消息，第138届英国高尔夫公开赛开赛在即，冠军预测也愈发激烈起来。根据各大博彩公司的统计，老虎-伍兹依然是夺标热门。最新公布的英国公开赛赔率显示，大多数球迷和球员相信，伍兹相当有望在坦伯利球场拿下个人第15座大满贯赛的冠军奖杯。
　　今年是1994年以后英国公开赛首次回到坦伯利球场举行，伍兹则期待着自2006年后首次赢取英国公开赛冠军。博彩公司Boylesports开出的最新的伍兹夺冠赔率为4赔9；还有些博彩公司的赔率则是1赔3或3赔3.6。
　　名将加西亚也很被看好，赔率达到1赔22。尽管去年在皇家伯克戴尔只获得第51名，但是西班牙人的实力绝对不容小觑。
　　本土宠儿伊恩-保尔特去年在延长赛惜败，拿到了英国公开赛的亚军，今年则希望更上一层楼。他最近状态颇佳，之前在美国公开赛取得了好成绩。另一家博彩公司bwin为他开出了1赔31的赔率。保尔特能否在2009年实现四大赛冠军的突破，周末便可见分晓。
　　以下是博彩公司Boylesports为部分选手开出的2009年英国公开赛的最新赔率：
　　老虎-伍兹  9/4 
　　加西亚  22/1 
　　罗里-麦克罗伊  25/1 
　　保罗-卡西  25/1 
　　斯滕森  25/1 
　　哈灵顿  28/1 
　　罗斯-费舍尔  28/1 
　　伊恩-保尔特  28/1 
　　李-维斯特伍德  28/1 
　　厄尼-埃尔斯  33/1 
　　马丁-凯梅尔  33/1 
　　古森  35/1 
　　金河珍  35/1 
　　奥格维  40/1 
　　亚当-斯科特  50/1 
　　肯尼-佩里  50/1 
　　维勒加斯  60/1 
　　维杰-辛格  66/1 
　　卡布雷拉  70/1 
　　鲁克-唐纳德  90/1 
　　迈克-维尔  90/1 
　　加斯汀-罗斯  100/1 
　　卢卡斯-格罗乌尔  110/1 
　　崔京周  125/1 
　　尼克-道赫蒂  125/1 
　　约翰-达利  250/1 
　　(小曼)

