试打会-美津浓高尔夫6月份试打会安排
　　新浪体育讯　北京时间5月23日，-美津浓高尔夫6月份试打会安排如下：
　　日 期：2011年6月4日—2011年6月5日
　　时 间：10：00—18：00
　　地 点：北京G-MAX高尔夫俱乐部
　　地 址：北京市朝阳区望京北小河公园内
　　电 话：010-64715572
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：北京新虎
　　日 期：2011年6月4日—2011年6月5日
　　时 间：10：00—17：00
　　地 点：西安康隆高尔夫练习场
　　地 址：西安高新区唐延路省体育训练中心内
　　电 话：029-88586105
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：西安康隆高尔夫
　　日 期：2011年6月11日—2011年6月12日
　　时 间：10：00—18：00
　　地 点：北京西洼高尔夫俱乐部
　　地 址：北京市海淀区青龙桥西洼果园18号
　　电 话：010-83087637
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：北京通迈
　　日 期：2011年6月12日—2011年6月13日
　　时 间：10：00—18：00(12日到17：00)
　　地 点：上海船长高尔夫实训场
　　地 址：上海浦东沈家弄路640号
　　电 话：021-58527796
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：上海宜高
　　日 期：2011年6月16日—2011年6月17日
　　时 间：10：00—18：00
　　地 点：天津森奥高尔夫球练习场
　　地 址：天津市南开区卫津南路奥体中心东路口
　　电 话：022-23350066
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：北京壹佰
　　日 期：2011年6月18日—2011年6月19日
　　时 间：10：00—17：00
　　地 点：上海金桥高尔夫练习场
　　地 址：上海市浦东新区金沪路706号
　　电 话：021-50327531
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：上海屹生体育用品有限公司
　　日 期：2011年6月25日—2011年6月26日
　　时 间：10：00—18：00
　　地 点：北京辰高尔夫球俱乐部
　　地 址：北京市朝阳区姜庄湖88号
　　电 话：010-84638888
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：北京OK
　　日 期：2011年6月25日—2011年6月26日
　　时 间：10：00—17：00
　　地 点：上海仲益黄兴体育公园高尔夫练习场
　　地 址：上海市国顺东路318号，高尔夫练习区
　　电 话：13601681009
　　主 办：美津浓(中国)体育用品有限公司
　　协 办：上海屹生体育用品有限公司

