视频集锦-姚明破小牛小鱼救湖人 太阳140+三连发
　　新浪体育讯　时间2月21日，火箭在德州内战完成13分的逆转，以93-86力取小牛。姚明拿下了22分13个篮板。篮网在主场以96-107不敌奇才，易建联替补上场得到4分3个篮板。今天的比赛看点颇多，阿尔斯通在魔术完成首秀；纽约30分狂屠猛龙；太阳连续3场轰下140+；费舍尔终场三分救主湖人胜黄蜂。以下是2月21日NBA常规赛视频集锦——
　　·视频-火箭新人洛瑞登场 强打犹如拼命三郎
　　·视频-洛瑞突破快如闪电 高难度上篮可见一斑
　　·视频-诺天王苦撑第三节 个人难阻火箭反超
　　·视频-巨人接管比赛 统治三节助火箭拉大比分
　　·视频-小布关键时刻不手软 百步穿杨拯救火箭
　　·视频-洛瑞集锦：突破一招鲜 火箭新人首秀顺利
　　·视频-街球王首秀魔兽狂送火锅 魔术擒获山猫
　　·视频-钱德勒引领四人得分过20 纽约屠杀猛龙
　　·视频-戈登37分超安东尼 公牛终结掘金连胜
　　·视频-新国王击退新熊王 胜灰熊终结六连败
　　·视频-诺天王苦撑第三节 个人难阻火箭反超
　　·视频-比赛重现保罗时刻 蜂王个人颠覆比赛
　　·视频-太阳重拾跑轰见奇效 连续三场飙分140
　　·视频-小鱼经验拯救湖人 老将三分赠球队生机

