冲四连冠李春江仍满嘴套话 任家双胞胎令队友犯难
　　“连续几个赛季了，我们从不提目标，还是那句套话，争取打好每一场比赛。”谈起新赛季的目标，广东东莞银行主帅李春江如是说。
　　其实，李春江所谓的“套话”，是其真正的心里话。宏远已经六次夺得联赛总冠军，再定所谓的目标已经多余。“我们(广东东莞银行队)是很多球队的目标，他们不断地冲击我们，拿我们当成他们的赛季目标。”李春江说，“说真的，其他队把我们当目标这绝对是好事，这对我们提出了更高的要求，会对我们征战新赛季有很大帮助。”
　　与李春江的看法一样，宏远俱乐部总经理刘宏疆也坦言，俱乐部并没有提目标。“不提目标不代表我们在新赛季没有目标，我个人认为不论俱乐部也好，球队也好，新赛季都要实现自我超越。也就是说拿自己当目标，自己和自己较劲。”刘宏疆说。
　　虽然宏远俱乐部和球队都没有提出目标，但对于球迷来说，他们心中已为华南虎定下了目标。某网站上有这样一项调查，“新赛季对于东莞银行有何期待？”，竟然有超过六成的球迷选择了，“东莞银行实现四连冠。”
　　“球队已经完成了两次三连冠，所以球迷希望我们实现四连冠也是对球队的一种激励。”刘宏疆表示，“其实前辈的很多纪录都是需要后来人去打破和刷新的，虽然在很多人看来有些纪录意义不大，但纪录确实能激发人的斗志，并使之成为前进的动力。”
　　核心
　　“三核心”角色在转换
　　朱芳雨、杜锋和王仕鹏堪称东莞银行成就六冠王的“三驾马车”，新赛季他们同样肩负着重任。“很多人都把他们三个(朱芳雨、杜锋和王仕鹏)称为老队员，其实他们并不老，当年大关(关德友)打到38岁才退役，我也打到35岁，所以他们不能叫老队员。”当记者问李春江，“新赛季三名老队员将在球队中扮演何种身份”时，他首先纠正了记者的问话，“其实你们也看到了，这几个赛季他们三个一直是队里的核心，虽然身上都有不同程度的伤病，但在整支球队当中的作用是有目共睹的。”
　　与前几个赛季一样，伤病一直是困扰卫冕冠军备战的老大难问题。“杜锋因为有伤这次没有被抽调至国家队，所以整个夏天的恢复还算系统，但朱芳雨和王仕鹏基本没有得到休整。”李春江说，“其实每个赛季都是一样的，这次留给球队备战磨合的时间也就10天，所以我还是那句老话，只能边打联赛边调整。”
　　训练课上记者看到，朱芳雨和王仕鹏得到了教练组的“特殊照顾”，他们只参与了一半对抗训练，就在助理教练张博雨的带领下练起了力量。“说实话打了这么多年联赛，身上攒下了太多的伤病，以前年轻恢复起来比较快，现在随着年龄的增大，恢复周期越来越长，今年由于打亚运会没有得到系统恢复，所以身体感觉并不好。”朱芳雨说。
　　与朱芳雨相比王仕鹏并没有太大的伤病，不过身体同样处于疲劳状态。“亚运会打完没几天就开始备战联赛，换做谁都会觉得累。”王仕鹏告诉记者，新赛季最大的理想就是不要有伤病缠身。
　　当然，延续在球场上的出色表现，只是“三位核心”在新赛季的一项任务而已，在场外他们还有其他重任。“他们三个在新赛季的角色会有所转换，作为核心队员除了带领球队努力争胜外，场下还有更重要的工作。”刘宏疆向记者透露，“三个人的一言一行都影响着年轻队员，我希望他们能把俱乐部和教练要求的东西，通过自身的表现来带动年轻队员，而且他们的带头示范作用也有利于提高球队的凝聚力。”
　　刘宏疆还告诉记者，新赛季球队仍旧会坚持多人打球的原则。“新赛季客场旅途比较周折，队员的体能将受到很大考验。正是基于这点考虑，加上外援球队一共报了15名队员，这是近几个赛季最多的一次。”刘宏疆说，“我想只要配置合理，老队员不仅可以获得调整时间，年轻队员还可以得到锻炼。”
　　新势
　　随时准备干“脏活”
　　卫冕冠军阵营当中，任骏威和李原宇是本赛季从二队调入一队的新人，他们两人的加入为东莞银行注入了新的血液。
　　对于任骏威球迷朋友们并不陌生，因为他是任骏飞的双胞胎哥哥。“没有什么不适应的地方，这里我们每年都会来，吃住行一切都比较习惯。”任骏威告诉记者，此前几个赛季宏远青年队都会到东莞来训练，所以对于一队的生活环境并不陌生。
　　谈到自己新赛季的目标，任骏威表示，“具体目标还谈不上，就是平时训练中多流汗，比赛时多争取些上场时间，不要拖了整个球队的后腿。只要是教练安排的任务，我随时都会接受考验。”
　　任骏威和任骏飞这一对双胞胎兄弟同场竞技，成为了东莞银行新赛季的一大看点。虽然两人相貌和身材几乎一致，但如何分辨他们对于朝夕相处的队友来说并不是问题。“弟弟的个子稍微高出2公分，而且身材要结实一点。”朱芳雨向记者透露他分辨两人的办法。队医小刘则是另外一种方法，“大威性格内向点，二飞比较好动。此外，二飞的嘴唇向上翘了一点。不过要是在场上打对抗，我真的不好分了。”
　　与任骏威相比，李原宇的知名度似乎要小一些。“一队的训练强度要比二队大很多，而且李导十分重视细节方面的东西。”李原宇说，“队里的老大哥都很照顾我，平时训练中有哪些地方做得不好，他们随时都会告诉我如何改正。”
　　在青年队时，身材和体格都不错的李原宇主打内线，但到了一队他的身体优势不复存在。“身体固然重要，但不是唯一的。我的外线投篮还可以，而且我的移动比较灵活，这都是我的优势。”对于自己新赛季的目标，李原宇信心十足，“这毕竟是我的首个CBA赛季，争取到多的上场时间让大家认知自己就足够了。”
　　外
　　琼斯帕克各有所长
　　除了两位从二队上调一队的新人外，新赛季卫冕冠军阵营中还将出现一张新面孔，他就是外援琼斯。“我来这里已经有一段时间了，这是一个非常不错的集体，我很喜欢这里的一切。”琼斯表示。
　　当记者问琼斯，之前帕克带领球队夺得了两个联赛冠军，其是否有信心夺冠时，琼斯显得十分自信。“帕克是个不错的球员，但我并不会比他差，我相信我有能力带领球队夺得联赛冠军。”
　　虽然，琼斯是帕克的“继任者”，但两人并不属于同一种类型的球员。“两人的性格不太一样，打球风格也不相同。”李春江评价说。训练中记者也发现，与激情四溢的帕克相比，琼斯几乎很少说话。
　　据记者了解，琼斯的得分和组织能力要比帕克突出，不过其抢断和防守能力则有些欠缺，“应该说帕克和琼斯属于不同类型的后卫，他们各有各的特点。”刘宏疆说，“当然，我相信琼斯具有的八年NBA经验是不会假的。”
　　其实，琼斯能够及早适应球队，还与哈里森有很大关系，因为双方曾经是NBA的队友。“琼斯是个不错的球员，我相信和他搭档会是一件很愉快的事，我现在已经憧憬着联赛快点开始，因为琼斯的传球会让我更加疯狂。”谈到琼斯哈里森显得很高兴。
　　经过上个赛季的相处后，哈里森早已融入了整个宏远大家庭当中，队里甚至有队员戏称，“大哈(哈里森)简直就是积臣二世！”
　　“上赛季的夺冠经历是我人生当中最快乐的时光，我希望这个赛季我能够重温一下(夺冠时刻)。”哈里森表示，“我听说对手的实力增强了很多，但我依旧坚信最后的冠军还是属于我们。”
　　相较于往季，今年12月的东莞仍旧有些闷热，不过这样的天气并没有打乱东莞银行将士的备战计划。随着朱芳雨、王仕鹏和周鹏三名参加亚运会的队员归队，东莞银行的阵容在联赛开战前10天终于得以完整。按照赛程，本周六华南虎将在主场迎战新赛季首个对手浙江万马，卫冕冠军的新赛季征程也将正式拉开序幕。
　　■本报记者 郑家雄/图
　　广东东莞银行队赛程表(常规赛)
　　日期              比赛队                         比赛地点
　　12月11日(六)    广东东莞银行-浙江              东莞
　　12月15日(三)    吉林-广东东莞银行              长春
　　12月17日(五)    辽宁-广东东莞银行              沈阳
　　12月19日(日)    广东东莞银行-北京              东莞
　　12月22日(三)    广东东莞银行-新疆              东莞
　　12月24日(五)    青岛-广东东莞银行              青岛
　　12月26日(日)    山东-广东东莞银行              济南
　　12月29日(三)    轮空                               
　　12月31日(五)    广东东莞银行-福建              中山
　　1月2日(日)      广东东莞银行-八一              东莞
　　1月5日(三)      广东东莞银行-江苏              中山
　　1月7日(五)      上海-广东东莞银行              上海
　　1月9日(日)      山西-广东东莞银行              太原
　　1月12日(三)     天津-广东东莞银行              天津
　　1月14日(五)     广东东莞银行-新世纪马可波罗    东莞
　　1月16日(日)     广东东莞银行-佛山              东莞
　　1月19日(三)     广厦-广东东莞银行              杭州
　　1月21日(五)     浙江-广东东莞银行              义乌
　　1月23日(日)     广东东莞银行-广厦              东莞
　　1月26日(三)     广东东莞银行-辽宁              中山
　　1月28日(五)     广东东莞银行-吉林              东莞
　　2月11日(五)     北京-广东东莞银行              北京
　　2月13日(日)     新疆-广东东莞银行              乌鲁木齐
　　2月16日(三)     广东东莞银行-山东              中山
　　2月18日(五)     广东东莞银行-青岛              东莞
　　2月20日(日)     福建-广东东莞银行              晋江
　　2月23日(三)     轮空                               
　　2月25日(五)     江苏-广东东莞银行              南京
　　2月27日(日)     八一-广东东莞银行              宁波
　　3月2日(三)      广东东莞银行-上海              东莞
　　3月4日(五)      广东东莞银行-山西              中山
　　3月6日(日)      广东东莞银行-天津              东莞
　　3月9日(三)      佛山-广东东莞银行              佛山
　　3月11日(五)     新世纪马可波罗-广东东莞银行    大朗
　　注：所有比赛开球时间均为晚上7点半
 

