外销灯具企业市场转型策略高峰论坛在京举办
　　主题：外销企业市场转型策略高峰论坛
　　时间：2009年4月
　　地点：万家灯火装饰城
　　以下为现场实录： 
　　主持人：尊敬的各位领导、各位来宾、女士们、先生们，大家上午好！非常欢迎大家来参加外销企业转型策略高峰论坛，很荣幸我能担当本次论坛的主持人，和许多优秀的灯饰行业、新闻界的朋友们，共同欢聚一堂，共同探讨外销企业采取何种策略，突破困局，成功实现市场转型的议题。希望我们共同度过一个愉快轻松的上午。本次论坛由《中国灯饰报》主办，北京万家灯火装饰城承办，并得到了京华时报、北京青年报、北京晚报、新京报、北京晨报、精品购物指南、北京商报、首都建设报、都市传媒、世界照明时报、海淀电视台、新浪乐居家居频道等主流媒体大力支持，我代表主办方、承办方向各位媒体表示衷心感谢，谢谢你们！
　　出席今天论坛的嘉宾有：
　　北京海淀区商务局党组副书记 蔡天明女士；
　　艺海集团董事长 陈芳先生；
　　艺海集团万家灯火投资管理有限公司董事长 张有荣先生；
　　中国照明电器协会秘书长 窦林平先生；
　　北京照明协会市场专业委员会秘书长 常毅先生；
　　《中国灯饰报》总编 欧元春先生；
　　台湾照明公会理事长 张平田先生；
　　北京建材行业协会市场流通专业委员会秘书长 刘振彪先生；
　　里程碑顾问有限公司总经理 邱建卫先生；
　　台湾翔耀集团营销总监 陈勇全先生；
　　诺克照明品牌总监 罗奕麟女士；
　　东莞名仕达灯饰总经理 罗太有先生；
　　胜球集团凯洛灯饰营销总监 李治中先生；
　　友佳灯饰总经理 刘炳煌生生；
　　凯盟灯饰营销总监 张伟先生；
　　铨欣集团营销副总 陈瑞贞女士；
　　博爵灯饰总经理 贺初晓先生；
　　博爵灯饰营销总监 左效伦先生；
　　睿志灯饰总经理 陈新志先生；
　　高力国际灯具港 苏红梅女士；
　　十里河灯饰城 欧阳企建先生；
　　玉泉营建材市场总经理 及密林先生；
　　美联天地建材市场 王家富先生；
　　北四环灯具批发市场 杨军先生；
　　万隆汇洋灯具批发市场 魏建忠先生；
　　八方龙灯具批发市场 董健疆先生；
　　兴隆灯具批发市场 张玉德先生；
　　首都建设报 常佳伟先生，
　　此外参加本次高峰论坛的还有外销企业代表优秀灯具经销商朋友，我代表主办方、承办方对大家的到来表示热烈地欢迎！朋友们，下面让我们有请北京万家灯火投资管理有限公司董事长张有荣先生致开幕词，掌声欢迎！
　　张有荣：尊敬的各位领导、各位来宾、女士们、先生们，大家上午好！在外销企业转型高峰论坛之际，我代表万家灯火向大家的到来表示热烈地欢迎！今天，特别邀请了政府的领导、协会的领导、业界专家以及企业代表，希望通过这次面对面的论坛，大家能够有所收获。下面我宣布本次高峰论坛正式开幕，谢谢大家！
　　主持人：谢谢！接下来让我们有请艺海集团董事长陈芳先生致词，掌声欢迎！

