CCTV刘建宏足彩火线：尤文客场无胜 罗马最好防平
　　注：体坛网独家资讯，除合作伙伴新浪外,谢绝其余媒体转载。
　　1月19日的凌晨3点30分，cctv5将直播拉齐奥对尤文的重头戏。本场球也是足彩竞猜场次，我估计尤文的好运到头了。以下为本期我为体坛网撰写的足彩专栏：
　　01 亚特兰VS国　米  推荐：0  国米没有问题，他们只要正常发挥就可以拿下。
　　02 卡利亚VS乌迪内  推荐：30  乌迪内斯上轮还是有点起色，本场该队有机会取胜。
　　03 切　沃VS那不勒  推荐：10  切沃本赛季保级很困难，防到平。
　　04 莱　切VS热那亚  推荐：30  这场球难度比较大，热那亚水平比主队高，但是客场比赛，有可能出事。
　　05 桑普多VS巴勒莫  推荐：3  很看好主队取胜，巴勒莫的状态不太理想。
　　06 都　灵VS罗　马  推荐：10  还是防个平局吧，都灵主场很顽强。
　　07 卡塔尼VS博洛尼  推荐：3  感觉主队更强一些，而且主场也有优势。
　　08 拉齐奥VS尤　文  推荐：31  大胆预测尤文无法取胜，拉齐奥最近状态调整得非常好，而且球节奏踢得很快，主场不会输掉。
　　09 瓦拉多VS贝蒂斯  推荐：3  主队取胜,两队实力差不多，看主场。
　　10 赫塔菲VS桑坦德  推荐：3  主队要反弹。
　　11 维尔瓦VS希　洪  推荐：30  难度很大，双选两头。
　　12 马拉加VS西班牙  推荐：31  主队不败，西班牙人客场不行。
　　13 阿尔梅VS马竞技  推荐：30  马竞在巴萨那里消耗了太多的精力，有可能顶不住了。

