湖南09高招本科二批平行一志愿投档分数线
　　>>湖南高招本科二批平行一志愿投档分数线(理工)
　　院校代号  院校名称  文史类投档线
　　1128 北京联合大学       545
　　1138 北京信息科技大学 551
　　1142 北京农学院           546
　　1144 北京印刷学院       552
　　1150 北京石油化工学院 553
　　1151 中华女子学院       540
　　1160 北京物资学院       551
　　1164 北京建筑工程学院 542
　　1165 北京城市学院       537
　　1181 中国劳动关系学院 545
　　1182 华北科技学院       524
　　1207 天津工业大学       552
　　1208 中国民航大学          554
　　1209 天津科技大学          552
　　1211 天津商业大学          552
　　1214 天津外国语学院          555
　　1215 天津体育学院          532
　　1216 天津师范大学          554
　　1219 天津工程师范学院 540
　　1220 天津农学院                    532
　　1221 天津科技大学          552
　　1254 天津商业大学          514
　　1308 华北煤炭医学院          521
　　1310 石家庄经济学院        536
　　1311 北华航天工业学院 522
　　1312 河北工程大学          525
　　1313 河北经贸大学          549
　　1314 河北大学               552
　　1315 河北师范大学          538
　　1316 河北科技师范学院 512
　　1318 廊坊师范学院       516
　　1322 唐山学院                    525
　　1323 邢台学院                    507
　　1330 唐山师范学院       517
　　1344 防灾科技学院          523
　　1360 石家庄学院                    513
　　1367 衡水学院               511
　　1407 山西师范大学          529
　　1408 山西财经大学          547
　　1409 山西中医学院          534
　　1410 太原科技大学          535
　　1412 山西医科大学          526
　　1413 太原工业学院          517
　　1414 山西大同大学          521
　　1416 太原师范学院       519
　　1419 运城学院               507
　　1420 忻州师范学院          511
　　1434 长治学院                    507
　　1505 内蒙古科技大学          516
　　1507 内蒙古师范大学          517
　　1508 呼伦贝尔学院          507
　　1509 内蒙古民族大学          513
　　2104 辽宁师范大学       543
　　2110 沈阳大学               518
　　2112 鞍山师范学院       507
　　2114 辽宁医学院                    520
　　2118 辽宁石油化工大学 532
　　2122 大连民族学院          535
　　2125 沈阳理工大学        536
　　2126 沈阳航空工业学院 533
　　2128 大连大学                    551
　　2134 渤海大学                    527
　　2135 辽宁师范大学        540
　　2136 沈阳师范大学          527
　　2160 大连东软信息学院 507
　　2170 辽宁对外经贸学院 512
　　2207 长春工业大学          513
　　2210 吉林师范大学          517
　　2214 长春税务学院          541
　　2216 吉林农业大学          524
　　2217 北华大学                   527
　　2218 长春工程学院          524
　　2220 长春大学                   537
　　2223 长春中医药大学          517
　　2224 吉林华桥外国语学院 515
　　2233 吉林农业科技学院 511
　　2253 长春税务学院        531
　　2309 哈尔滨师范大学          533
　　2310 黑龙江大学                    538
　　2312 哈尔滨商业大学          540
　　2313 黑龙江中医药大学 532
　　2315 佳木斯大学                    507
　　2320 哈尔滨学院                    521
　　2322 哈尔滨体育学院          507
　　2325 哈尔滨德强商务学院 507
　　2351 黑龙江八一农垦大学 516
　　2369 黑龙江东方学院       507
　　3114 上海海洋大学       553
　　3115 上海海洋大学        551
　　3117 上海体育学院          542
　　3119 上海商学院                   550
　　3121 上海电机学院          535
　　3122 上海海事大学          555
　　3130 上海杉达学院          507
　　3131 上海政法学院          549
　　3139 上海应用技术学院 540
　　3143 上海海关学院          554
　　3144 上海金融学院          555
　　3146 上海立信会计学院 554
　　3216 盐城师范学院          522
　　3217 淮阴工学院                   519
　　3220 苏州科技学院          549
　　3221 江苏警官学院          530
　　3223 徐州师范大学          535
　　3224 江苏工业学院       534
　　3226 南京审计学院          558
　　3227 南京财经大学          556
　　3228 南京人口管理干部学院   514
　　3240 南京工程学院           550
　　3243 淮海工学院                     531
　　3264 江苏技术师范学院   529
　　3273 金陵科技学院            534
　　3307 中国计量学院            551
　　3312 浙江林学院               539
　　3313 浙江海洋学院            534
　　3315 嘉兴学院                     540
　　3318 浙江师范大学            541
　　3319 温州大学                     550
　　3321 台州学院                     531
　　3322 浙江财经学院            552
　　3325 浙江传媒学院          549
　　3329 丽水学院                     515
　　3408 淮北煤炭师范学院   517
　　3409 安徽财经大学            551
　　3410 合肥学院                    525
　　3413 安徽农业大学            537
　　3416 安徽工程科技学院   517
　　3417 安徽师范大学            535
　　3418 安徽科技学院            522
　　3427 阜阳师范学院            512
　　3442 安庆师范学院            512
　　3450 安徽新华学院            507
　　3507 集美大学                      553
　　3509 福建师范大学            533
　　3510 厦门理工学院            549
　　3511 仰恩大学                     515
　　3512 漳州师范学院            531
　　3513 福建工程学院            530
　　3514 莆田学院                      518
　　3515 泉州师范学院            535
　　3520 三明学院                      515
　　3525 武夷学院                      511
　　3526 龙岩学院                     516
　　3577 闽南理工学院            507
　　3603 华东交通大学            537
　　3605 南昌航空大学            539
　　3606 景德镇陶瓷学院         522
　　3607 东华理工大学            533
　　3608 江西理工大学         530
　　3609 宜春学院                      514
　　3610 江西师范大学            541
　　3611 赣南师范学院            507
　　3612 江西农业大学            539
　　3613 江西中医学院            530
　　3615 井冈山大学                     520
　　3616 东华理工大学            519
　　3618 江西科技师范学院   522
　　3619 九江学院                      536
　　3620 赣南医学院                      507
　　3635 南昌工程学院          524
　　3639 江西蓝天学院          508
　　3645 南昌理工学院          507
　　3659 华东交通大学               537
　　3703 山东政法学院          533
　　3707 山东农业大学               522
　　3708 山东理工大学          537
　　3709 济宁医学院                   517
　　3711 山东财政学院          547
　　3714 山东工商学院          536
　　3716 济南大学                   550
　　3717 青岛理工大学          543
　　3718 烟台大学                   551
　　3719 山东师范大学          547
　　3722 临沂师范学院          515
　　3723 潍坊学院                   520
　　3724 德州学院                   507
　　3727 滨州医学院                   530
　　3728 菏泽学院                   518
　　3729 枣庄学院                      507
　　3730 鲁东大学                   541
　　3731 山东轻工业学院          522
　　3732 山东交通学院          507
　　3733 山东经济学院               548
　　3735 聊城大学                   524
　　3737 青岛农业大学          532
　　3738 山东建筑大学       507
　　3751 滨州学院                   507
　　3796 山东万杰医学院      539
　　4102 河南城建学院          507
　　4105 郑州轻工业学院     515
　　4106 河南科技大学       526
　　4107 郑州航空工业管理学院 525
　　4108 河南工业大学          536
　　4109 河南理工大学          532
　　4112 南阳理工学院       514
　　4113 黄河科技学院          507
　　4116 河南中医学院          527
　　4125 周口师范学院          507
　　4126 安阳师范学院          507
　　4138 安阳工学院           509
　　4145 新乡学院               507
　　4155 河南科技学院         520
　　4158 河南财经学院       535
　　4170 河南工程学院        516
　　4184 河南工业大学        507
　　4218 武汉体育学院       529
　　4219 中南民族大学       546
　　4220 长江大学               532
　　4227 武汉工程大学        550
　　4228 武汉科技学院        543
　　4230 武汉工业学院       537
　　4231 湖北民族学院       522
　　4233 湖北美术学院          508
　　4234 湖北工业大学       531
　　4235 三峡大学                   538
　　4236 咸宁学院               513
　　4237 湖北师范学院        534
　　4238 湖北中医学院          531
　　4239 郧阳医学院           519
　　4241 黄冈师范学院         521
　　4250 湖北经济学院        542
　　4251 湖北第二师范学院 525
　　4252 江汉大学               531
　　4257 黄石理工学院         519
　　4259 荆楚理工学院        509
　　4303 湖南师范大学       519
　　4305 湖南农业大学         549
　　4306 湖南科技大学       543
　　4307 湖南中医药大学      533
　　4309 南华大学               537
　　4310 湖南工业大学          532
　　4312 中南林业科技大学 541
　　4314 湖南商学院              541
　　4315 吉首大学               532
　　4316 衡阳师范学院        522
　　4317 湖南理工学院          523
　　4318 湖南文理学院        524
　　4319 湖南工程学院       527
　　4320 湖南城市学院           519
　　4321 邵阳学院               512
　　4322 湖南科技学院           511
　　4323 怀化学院               509
　　4326 湘南学院               515
　　4333 湖南人文科技学院 508
　　4337 长沙学院               528
　　4339 湖南涉外经济学院 507
　　4348 湖南第一师范学院 519
　　4351 湖南工学院             511
　　4360 长沙医学院                    507
　　4414 东莞理工学院           529
　　4416 广州体育学院        527
　　4417 广东商学院           552
　　4419 佛山科学技术学院 527
　　4420 湛江师范学院          537
　　4423 茂名学院               526
　　4424 广东技术师范学院 537
　　4426 广东工业大学          551
　　4430 惠州学院                    523
　　4431 肇庆学院                   507
　　4432 仲恺农业工程学院 531
　　4434 广东警官学院           542
　　4442 广东金融学院         553
　　4446 广东白云学院          507
　　4481 韩山师范学院          519
　　4503 桂林理工大学        527
　　4504 桂林电子科技大学 512
　　4505 桂林理工大学          525
　　4507 广西工学院                    526
　　4508 广西民族大学          520
　　4509 广西师范大学         544
　　4511 广西医科大学        528
　　4512 广西师范学院        522
　　4514 广西中医学院          530
　　4538 广西财经学院          541
　　4541 梧州学院                  514
　　4543 百色学院                   509
　　4544 河池学院                    507
　　4602 海南医学院            529
　　4604 琼州学院                   523
　　4605 海南师范大学          538
　　4631 海口经济学院            509
　　4804 湖北警官学院            529
　　4884 北京师范大学-
　　香港浸会大学联合国际学院 543
　　5004 西南大学(荣昌校区) 510
　　5011 重庆理工大学         522
　　5013 重庆工商大学           551
　　5014 重庆三峡学院         523
　　5016 重庆师范大学          539
　　5018 四川外语学院         554
　　5019 重庆文理学院          531
　　5022 重庆科技学院          507
　　5103 西南交通大学          541
　　5107 四川师范大学          540
　　5108 成都中医药大学          541
　　5109 乐山师范学院          514
　　5110 成都理工大学          539
　　5111 成都体育学院          518
　　5112 西南民族大学          542
　　5114 西南石油大学          536
　　5115 成都信息工程学院 533
　　5116 中国民用航空飞行学院 537
　　5117 西南科技大学          533
　　5119 西华大学                   536
　　5123 西华师范大学          529
　　5125 成都学院                   528
　　5126 宜宾学院                   516
　　5127 川北医学院                   518
