09云南三本院校今日补录 8时至20时征集志愿
　　记者昨日从省招生考试院获悉，我省2009年普通高校招生第三批本科院校征集志愿于2009年8月3日8时至20时进行。
　　在征集志愿工作开始后，考生可登录工作网(www.ynzs.cn或www.ynzk.cn)，自行进行征集志愿填报，并在征集志愿确认截止时间之前，到确认点进行确认并签字，才算完成了征集志愿填报，所填报的征集志愿才是有效志愿。
　　考生登录工作网时，可以使用报名时所使用的用户名，也可以使用高考考号；登录密码使用网上报名时的登录密码。考生忘记登录密码，可以到确认点或县(市、区)招考办办理密码重置。
　　在征集志愿截止时间之前，考生可反复登录工作网，自行填报、调整志愿。如果征集志愿确认后，考生还想修改志愿，可以通过确认点取消确认，由本人登录工作网自行修改；也可以由确认点工作人员使用“协助修改”模式进行修改。无论哪种情况，都必须在征集志愿确认截止时间前再次到确认点进行确认。
　　本次征集志愿分数线：文史类：425分，理工类395分，均比三本线低20分。这也就是说，更多原本没有考上三本线的考生，有了从专科跨入本科的入学希望。
　　本次志愿征集时间较公布的“预计”时间提前了两天，省招生考试院要求各级招生考试部门、各确认点做好征集志愿信息确认、联络、督促考生等各项工作。
　　■相关新闻
　　略低三本线 可上云师大商学院
　　本报讯 (记者韩海阔)昨晚，省招生考试院公布第二批三本院校录取情况，云南师范大学商学院成为录取大户，文理科共录取2514人，文理科录取分数线分别比三本线低6分和4分。
　　在文史类方面，“传媒”字眼备受追捧，中国传媒大学南广学院的最低录取分数505分，高于二本线27分之多，这也说明广播电视新闻类的各专业仍然在考生中很受欢迎。贵阳医学院神奇民族医药学院、云南师范大学商学院、西北师范大学知行学院最低分数控制线均在三本线以下。其中，云南师范大学商学院的最低录取分数为439分，比三本线低6分，录取考生达1809人。此外，二本A类的白城师范学院文史类征集志愿最低分也于昨日公布，征集志愿最低分为487分，高出二本线9分。
　　在理工类方面，河北医科大学临床学院最低分数控制线为434分，录取考生中有一名考生成绩达到501分，超过一本线1分。这再次说明，平行志愿填报过程中，相对高分的考生填报不慎，也会遭遇退档落批，但就目前为止的录取总况来说，平行志愿实行后，高分低就的考生明显减少。大连交通大学信息工程学院、贵阳医学院神奇民族医药学院、云南师范大学商学院、西安思源学院最低分数控制线均在三本线以下。其中，云南师范大学商学院的最低录取分数为411分，比三本线低4分，录取考生达705人。
　　8月2日录取日报
　　批次  科类   院校                  人数        最高分原始志愿最低分
　　二本A类 文史    2216白城师范学院       6  504   476
　　二本预科 理工    3614井冈山大学          5  438   402 
　　二本预科 理工    6208西北民族大学        10  444   430 
　　三本  文史    1230天津外国语学院滨海外事学院    15  499   474 
　　三本  文史    1343石家庄经济学院华信学院     9  465   447 
　　三本  文史    1363北京交通大学海滨学院     2  464   455 
　　三本  文史    3157上海外国语大学贤达经济人文学院     4  480   473 
　　三本  文史    3231中国传媒大学南广学院     2  509   505 
　　三本  文史    3647南昌航空大学科技学院     3  463   462 
　　三本  文史    3740青岛理工大学琴岛学院     4  477   469 
　　三本  文史    4344湖南商学院北津学院      3  469   457 
　　三本  文史    5030重庆工商大学融智学院     8  478   463 
　　三本  文史    5032重庆邮电大学移通学院     4  463   454 
　　三本  文史    5225贵州财经学院商务学院      1  449   449 
　　三本  文史    5228贵阳医学院神奇民族医药学院    10  474   438 
　　三本  文史    5339云南师范大学商学院     1809  514   439 
　　三本  文史    6211西北师范大学知行学院      3  463   443 
　　三本  理工    1339河北医科大学临床学院     30  501   434 
　　三本  理工    2161大连交通大学信息工程学院      5  443   406 
　　三本  理工    3157上海外国语大学贤达经济人文学院      4  459   421 
　　三本  理工    4264中南财经政法大学武汉学院      5  478   441 
　　三本  理工    5228贵阳医学院神奇民族医药学院      2  419   414 
　　三本  理工    5339云南师范大学商学院  705  466   411 
　　三本  理工    6139西安思源学院        4  434   408 

