山西2010年高考三本一志愿统计表
　　说明：应院校要求，此统计数据按1:1比例测算。因个别第二批本科B类院校录取工作尚未结束，以及部分投档比例有特殊要求的院校将按院校要求的比例投档，院校无特殊要求的按1:1.2比例投档等因素，相关院校实际投档比例和投档分数还会有所变化。第三批院校最低录取控制线上第一志愿报考人数未达计划数的院校未刊登。
　　文科院校
　　院校编号 院校名称 计划数 1:1达线数 分数线
　　1050 北京城市学院 95 99 469
　　1066 首都师范大学科德学院 3 3 458
　　1067 北京工商大学嘉华学院 8 8 473
　　1070 北京邮电大学世纪学院 5 6 499
　　1071 北京工业大学耿丹学院 8 9 453
　　1077 北京第二外国语学院中瑞酒店管理学院 10 10 453
　　1096 天津天狮学院 10 10 451
　　1114 天津外国语大学滨海外事学院 58 60 484
　　1116 天津商业大学宝德学院 38 38 473
　　1118 南开大学滨海学院 138 142 493
　　1123 天津师范大学津沽学院 23 25 484
　　1124 天津理工大学中环信息学院 4 4 434
　　1125 北京科技大学天津学院 83 83 460
　　1130 天津大学仁爱学院 16 17 476
　　1131 天津财经大学珠江学院 21 21 483
　　1199 河北大学工商学院 2 3 472
　　1202 河北师范大学汇华学院 18 18 449
　　1204 华北电力大学科技学院 5 5 487
　　1207 燕山大学里仁学院 8 8 489
　　1208 石家庄铁道大学四方学院 8 8 479
　　1209 石家庄经济学院华信学院 4 4 441
　　1214 中国地质大学长城学院 13 14 443
　　1215 北京化工大学北方学院 19 19 441
　　1216 北京中医药大学东方学院 9 10 486
　　1221 北京交通大学海滨学院 4 4 440
　　1310 大连理工大学城市学院 15 15 485
　　1314 大连交通大学信息工程学院 17 17 450
　　1320 东北财经大学津桥商学院 9 9 488
　　1358 吉林华桥外国语学院 38 38 452
　　1376 长春理工大学光电信息学院 1 1 488
　　1384 东北师范大学人文学院 5 5 419
　　1494 上海杉达学院 10 10 459
　　1510 上海建桥学院 8 8 449
　　1586 东南大学成贤学院 7 9 477
　　1605 江南大学太湖学院 3 3 470
　　1606 中国矿业大学徐海学院 30 32 453
　　1607 南京大学金陵学院 7 7 487
　　1608 南京理工大学紫金学院 2 2 475
　　1609 南京航空航天大学金城学院 14 14 469
　　1610 中国传媒大学南广学院 10 12 483
　　1620 南京信息工程大学滨江学院 3 3 450
　　1621 江苏大学京江学院 3 3 440
　　1622 南京邮电大学通达学院 2 2 427
　　1624 南京审计学院金审学院 4 4 501
　　1663 浙江工业大学之江学院 3 3 465
　　1667 绍兴文理学院元培学院 3 3 445
　　1708 安徽财经大学商学院 4 4 466
　　1710 淮北师范大学信息学院 14 15 447
　　1751 厦门大学嘉庚学院 9 9 484
　　1781 江西蓝天学院 18 19 437
　　1792 南昌理工学院 17 17 453
　　1817 南昌大学科学技术学院 10 10 469
　　1818 南昌大学共青学院 9 9 447
　　1819 华东交通大学理工学院 6 6 468
　　1820 东华理工大学长江学院 5 5 430
　　1821 南昌航空大学科技学院 3 3 476
　　1824 江西农业大学南昌商学院 5 5 435
　　1825 江西中医学院科技学院 5 5 465
　　1826 江西师范大学科学技术学院 4 4 469
　　1828 江西财经大学现代经济管理学院 5 5 480
　　1872 山东万杰医学院 2 2 478
　　1874 青岛滨海学院 25 25 454
　　1899 潍坊科技学院 8 8 457
　　1905 山东英才学院 10 10 453
　　1923 青岛理工大学琴岛学院 12 14 470
　　1924 山东经济学院燕山学院 14 14 450
　　1925 中国石油大学胜利学院 3 3 469
　　1944 济南大学泉城学院 7 7 471
　　2080 华中师范大学汉口分校 2 2 463
　　2084 华中科技大学武昌分校 8 8 476
　　2085 武汉科技大学中南分校 9 9 469
　　2115 湖北经济学院法商学院 7 7 440
　　2119 华中科技大学文华学院 6 6 480
　　2122 中南财经政法大学武汉学院 7 7 469
　　2123 中国地质大学江城学院 10 10 448
　　2158 长沙医学院 3 3 465
　　2174 湖南涉外经济学院 16 16 425
　　2180 湘潭大学兴湘学院 2 2 459
　　2253 电子科技大学中山学院 11 11 446
　　2268 广东外语外贸大学南国商学院 2 2 475
　　2280 北京理工大学珠海学院 16 16 432
　　2281 吉林大学珠海学院 26 26 427
　　2342 海南大学三亚学院 73 73 418
　　2367 重庆大学城市科技学院 8 8 426
　　2435 电子科技大学成都学院 5 5 472
　　2436 成都理工大学工程技术学院 8 8 428
　　2440 四川师范大学成都学院 3 3 439
　　2441 四川外语学院成都学院 10 12 478
　　2442 四川大学锦城学院 15 15 446
　　2445 西南财经大学天府学院 1 1 459
　　2505 云南大学滇池学院 4 4 468
　　2507 昆明医学院海源学院 1 1 471
　　2556 西安翻译学院 50 50 423
　　2573 西安交通大学城市学院 13 13 487
　　2574 西北大学现代学院 2 2 457
　　2575 西安建筑科技大学华清学院 9 9 464
　　2576 西安财经学院行知学院 7 7 476
　　2577 陕西科技大学镐京学院 35 35 430
　　2578 西安工业大学北方信息工程学院 21 22 464
　　2579 延安大学西安创新学院 6 6 447
　　2584 西北工业大学明德学院 7 7 419
　　2617 西北师范大学知行学院 4 4 429
　　5042 山西大学商务学院 1286 1324 461
　　5045 山西师范大学现代文理学院 770 770 432
　　5049 山西医科大学晋祠学院 198 199 428
　　5050 山西财经大学华商学院 1066 1080 440

