高考落榜生出路：中职优惠政策
　　上新街的刘朝英妈妈最近很恼火，高考录取结束了，儿子没大学上。“是本身成绩不好，高考考了两百多分。复读也没啥希望……”儿子怎么办？就让他自己去打工当学徒了？市教委今年针对高考落榜生有个新政策，高考落榜生可以到中职学校去读一年，拿个中职学历证和职业资格证。
　　部分特色中职学校先试点
　　市教委相关人士说，今年高考落榜的学生有三万多人，一部分学生会选择复读，还有一部分学生可能就会进入社会了。“拿证”不是重点，重点是让学生能学到一技之长，在初出社会时，有个能安生立命的本事。现在全市愿意招收高中毕业生的中职学校还在报批，市教委要求是国家级重点中职学校，个别办学特色明显、品牌专业突出的市级重点中职学校经批准后可以试点。
　　可半工半读、工学交替
　　一年制中等职业学历教育单独设班，学生在这一年中不再开设文化基础课程，以专业理论知识学习和实践技能操作训练为主。实行弹性学制，允许和鼓励一年制中等职业学历教育学生半工半读、工学交替、分阶段完成学业，学生按规定修满学分就可以申请毕业。当然，一年后也可以通过高职考试(含自主招生等)进入高等职业教育院校继续学习。
　　昨天，市教委公布了20个专业可供选择，这20个专业是综合考虑社会经济发展和人力资源需求、适合高中学生学习等因素确定的，你可以根据孩子的实际情况先作考虑，市教委负责人说，往届的高中毕业生也可以报名，报名的时间就在近期公布。(记者 高敏)
　　专业名称      职业资格证书
　　建筑工程施工   施工员
　　机械制造技术   数控车工
　　机电技术应用   机修钳工
　　数控技术应用   数控铣工
　　服装制作与生产管理    服装制作工
　　计算机应用     计算机操作员
　　电子与信息技术    电子设备装接工等
　　电子技术应用    电子元器件检验员
　　保险事务        保险理赔员
　　专卖店经营       营业员
　　物流服务与管理    物流员
　　房地产营销与管理   房地产经纪协理
　　酒店服务与管理    调酒师(中级)
　　旅游服务与管理     导游
　　会展服务与管理    展览策划师
　　中餐烹饪       营养配餐员
　　动漫游戏       动画绘制员
　　服装设计与工艺    皮革加工工
　　物业管理        物业管理员
　　家政服务与管理     保育员

