四川高招本二录取未完成计划院校第二次征集志愿
　　新浪教育讯 四川省2011年普通高校本科二批录取未完成计划院校第二次征集志愿于日前公布，本站将随录取进程第一时间发布相关高招信息，敬请关注！请考生注意：以下公布的各院校的地址、办学性质、各专业的收费标准及专业要求等，请以《2011年招生计划合订本》公布的为准。院校录取规则和相关要求请查询2011年普通高校《招生章程汇编》。
　　一、文科
　　学校代号、名称及专业代号、名称    计划                               
　　0371 大连民族学院                           2                        
　　02  旅游管理(只招收少数民族考生)                      2         
　　1414 晋中学院                               1                        
　　08  教育学                                               1         
　　1433 太原工业学院                           1                        
　　32  市场营销                                             1         
　　2326 牡丹江师范学院                         1                        
　　02  法学                                                 1         
　　3327 浙江传媒学院                           1                        
　　07  英语                                                 1         
　　3602 东华理工大学                           1                        
　　00  英语                                                 1         
　　4139 安阳工学院                             2                        
　　06  社会工作                                             2         
　　4617 海南医学院                             1                        
　　09  劳动与社会保障(医疗保险方向)                       1         
　　5008 重庆医科大学                           1                        
　　57  应用心理学                                           1         
　　5128 四川文理学院                           2                        
　　03  汉语言文学                                           2         
　　5205 遵义医学院                             2                        
　　23  护理学                                               2         
　　5402 西藏民族学院                           3                        
　　17  英语(藏英翻译)                                     3   
　　二、理科
　　学校代号、名称及专业代号、名称    计划                               
　　1222 天津职业技术师范大学                   1                        
　　06  数学类                                               1         
　　1305 河北联合大学                           2                        
　　71  护理学                                               2         
　　1402 太原科技大学                           1                        
　　03  应用心理学                                           1         
　　1414 晋中学院                               2                        
　　43  机械设计制造及其自动化(职业师范方向)               2         
　　2123 辽宁师范大学                           1                        
　　A4  旅游管理(饭店管理)                                 1         
　　2215 吉林工程技术师范学院                   1                        
　　02  教育学                                               1         
　　2216 长春师范学院                           1                        
　　63  图书馆学                                             1         
　　2237 长春工程学院                           2                        
　　16  农业水利工程                                         2         
　　2326 牡丹江师范学院                         2                        
　　20  应用化学(环境与分析检测)                           1         
　　28  电子信息科学与技术(电子工程)                       1         
　　3516 福建医科大学                           1                        
　　09  护理学                                               1         
　　3636 宜春学院                               2                        
　　3F  园艺                                                 2         
　　4115 河南师范大学                           1                        
　　22  心理学                                               1         
　　4317 怀化学院                               1                        
　　21  网络工程                                             1         
　　4346 湖南工学院                             1                        
　　43  信息与计算科学                                       1         
　　4413 惠州学院                               1                        
　　64  应用化学(精细化工教育)                             1         
　　5008 重庆医科大学                           5                        
　　31  护理学                                               5         
　　5116 泸州医学院                             2                        
　　14  护理学                                               2         
　　5128 四川文理学院                           5                        
　　04  物理学                                               1         
　　06  化学工程与工艺                                       1         
　　22  特殊教育                                             3         
　　5149 四川警察学院                           1                        
　　07  行政管理                                             1         
　　5322 楚雄师范学院                           1                        
　　20  网络工程                                             1         
　　5402 西藏民族学院                           3                        
　　49  学前教育                                             3

