江西：全国研究生入学统一考试购书注意事项
　　新浪教育讯 据江西省教育考试院消息：
　　1、国试书业2012全国硕士研究生入学统一考试大纲系列用书(江西省内)由江西省教育考试院(招生考试服务部)总经销，由江西新华发行集团有限公司全省总代理。请各位考生于9月15号前往我省新华书店各网点购买考试大纲系列用书。
　　2、大纲系列用书目录
　　序号  2012考研大纲系列
　　1　2012年全国硕士研究生入学统一考试思想政治理论考试大纲
　　2　2012年全国硕士研究生入学统一考试英语(一)考试大纲(非英语专业)
　　3　2012年全国硕士研究生入学统一考试英语(二)考试大纲(非英语专业)
　　4　2012年全国硕士研究生入学统一考试数学考试大纲
　　5　2012年全国硕士研究生入学统一考试西医综合考试大纲
　　6　2012年全国硕士研究生入学统一考试中医综合考试大纲
　　7　2012年全国硕士研究生入学统一考试法律硕士(非法学)专业学位联考考试大纲
　　8　2012年全国硕士研究生入学统一考试法律硕士(法学)专业学位联考考试大纲
　　9　2012年全国硕士研究生入学统一考试教育学专业基础综合考试大纲
　　10　2012年全国硕士研究生入学统一考试心理学专业基础综合考试大纲
　　11　2012年全国硕士研究生入学统一考试历史学专业基础综合考试大纲
　　12　2012年全国硕士研究生入学统一考试农学门类联考考试大纲
　　13　2012年全国硕士研究生入学统一考试计算机学科联考计算机学科基础综合考试大纲
　　14　2012年全国硕士研究生入学统一考试日语考试大纲(非日语专业)
　　15　2012年全国硕士研究生入学统一考试俄语考试大纲(非俄语专业)
　　16　2012年全国硕士研究生入学统一考试管理类专业学位联考综合能力考试大纲
　　17　全国硕士研究生入学统一考试思想政治理论考试大纲解析(2012年版)

