太原市2011年中考成绩揭晓
　　太原市2011年高中阶段教育学校招生考试成绩于7月8日揭晓，太原市招生考试管理中心向社会公布了相关情况。
　　今年，太原市51339名考生参加了全省统一命题考试，全市在10个县设(市、区)设考点59个，考场1716个。
　　普通高中体育、艺术特长生，文化课成绩达线，专业成绩合格，按专业成绩和志愿择优录取。体育类考生中，田径项目省级示范高中中考成绩达到414分，其他普通高中345分，专业成绩60分以上，按专业成绩择优录取。其中，专项成绩100分者，中考成绩降100分；专项成绩90分者，中考成绩可降50分。球类(含棋类、游泳)：中考成绩达到345分，专业成绩60分以上，按专业成绩择优录取。艺术类(音乐、美术、书法、舞蹈、模特)考生，省级示范高中中考成绩达到483分，其他普通高中414分，专业成绩60分以上，按专业成绩择优录取。
　　550分以上招生学校分数线详见本报网站(www.sxqnb.com.cn)。
　　2011年太原市普通高中预估分数线(550分以上)
　　学校编码 学校名称 一 二 三 四 五
　　65001 太原市外国语学校 630 631 631 631 631
　　65099 太原市外国语学校国际班 621 621 621 621 621
　　65201 太原市外国语学校(双外语实验班) 630 631
　　65501 太原市外国语学校(择校) 621 624 626 626 626
　　65003 太原市成成中学校 626 626 626 626 626
　　65503 太原市成成中学校(择校) 616 616 618 621 621
　　65004 太原市实验中学校 596 599 601 601 601
　　65504 太原市实验中学校(择校) 575 576 576 576 576
　　65005 太原市第五中学校 644 646 646 646 646
　　65097 太原市第五中学校国际班 636 636 636 636 636
　　65505 太原市第五中学校(择校) 636 636 636 636 636
　　65006 太原市进山中学校 589 591 591 591 591
　　65007 进山中学爱物生 586 590 591 591 591
　　65506 太原市进山中学校(择校) 559 559 559 559 559
　　65010 山西省实验中学 640 641 641 641 641
　　65098 山西省实验中学国际班 632 632 632 632 632
　　65510 山西省实验中学(择校) 632 636 636 636 636
　　65012 太原市第十二中学校 622 626 626 626 626
　　65512 太原市第十二中学校(择校) 612 616 616 616 616
　　65014 太原师范学院附属中学 614 616 616 616 616
　　65514 太原师范学院附属中学(择校) 606 608 611 611 611
　　65015 太原市第十五中学校 586 586 586 586 586
　　65515 太原市第十五中学校(择校) 558 561 561 561 561
　　65018 太原市第十八中学校 623 626 626 626 626
　　65218 太原市第十八中学校(双外语实验班) 625 626
　　65518 太原市第十八中学校(择校) 615 616 616 616 616
　　65023 太原市第三实验中学校 615 616 616 616 616
　　65523 太原市第三实验中学校(择校) 603 606 606 606 606
　　65025 太原市第四实验中学校 571 571 573 576 576
　　65026 太原市育英中学校 596 596 596 596 596
　　65526 太原市育英中学校(择校) 569 571 571 571 571
　　65027 太原市第二十七中学校 551 551 551 553 556
　　65028 山西大学附属中学 645 646 646 646 646
　　65528 山西大学附属中学(择校) 632 636 636 636 636

