日本游戏期待榜 卡普空对战新作上榜
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，自公布后就一直盘踞榜单的《巫术OL》本周落榜，而由卡普空所研发的战斗网游《伊克西翁传说》上榜，这是款提供袭击者、施法者和暴走者三种职业，支持8对8团队战斗的对战型游戏。
　　游戏名(平台/国内代理)                                        评分
　　1.TERA                                                               10
　　2.艾尔之光(巨人网络)                                                  8
　　3.第九大陆(腾讯)                                                      8
　　4.梅露露的工作室～阿兰德的炼金术士3～(PS3)                            7
　　5.黑色洛城(PC)                                                        7
　　6.与AKB1/48在关岛恋爱的话(PSP)                                        7
　　7.超级街霸4街机版(PS3)                                                7
　　8.伊克西翁传说                                                        7
　　9.怪物猎人携带版3rd       (PSP)                                             7
　　10.闪点行动3：红河(PS3)                                               6

