日游期待榜公布 《梦幻之星OL2》上榜
　　根据日本大型游戏网站4gamer的最新关注游戏排名显示，依旧由《TERA》占据榜首位置，上周刚刚公布了游戏视频的经典网游续作《梦幻之星OL2》本周进入榜单，排名第二，公布了具体测试日期的《C9》排序稍有下滑，此外，刚刚发布了最新资料篇的《洛奇英雄传》上榜。
　　游戏名(平台/国内代理)                                             评分
　　1.TERA                                                               10
　　2.梦幻之星OL2                                                        10
　　3.IPhone平台游戏(IPhone)                                             10
　　4.战地3(PC)                                                          10
　　5.最终幻想零式(PSP)                                                  10
　　6.第九大陆(腾讯)                                                     10
　　7.恶魔幸存者2(DS)                                                     8
　　8.洛奇英雄传(世纪天成)                                                7
　　9.梅露露的工作室~阿兰德的炼金术士3~(PS3)                              7
　　10.地牢围攻3(PC)                                                      7

