精巧入门家用相机 佳能A495仅售819元
　　泡泡网数码相机频道3月17日 目前千元级的相机可以说有着非常多的选择，而佳能的家用相机一直拥有不错的性价比和口碑，比如之前推出的A485就表现优秀。而今天它的升级版A495也早已出现在了市场，佳能A495外观较为圆润，采用1/2.3英寸1000万像素的CCD图像传感器，使用一块2.5英寸11.5万像素的LCD显示屏，搭载智慧自动场景模式，具有比A490更丰富的场景选择，支持脸部对焦、脸部对焦后自拍和自动消除红眼。整体性能表现还是相当令人满意的，加上佳能一贯的高画质表现，对于家庭用户而言，A495非常值得拥有。
　　佳能A495的光学变焦倍数是3.3倍，等效于135相机的37-122mm，录像的最高分辨率为640×480 30fps，佳能A495具有9点AF对焦，使用两个AA电池，每次的充电可以拍摄约400张照片。该机在高鸿商城www.tao3c.com的最新报价已经调整至819元（雅银色），促销时限一周。对这款A495感兴趣的朋友可以拨打400-650-9676电话咨询，提及本站会获得更好的服务。【查看咨询】
　　
　　
　　
　　目前这款价格A495目前价格非常不错，市场中的最新价格为819元，从价格方面来看，并没有太大的水分，所以对这款机器感兴趣的朋友可以考虑入手一部啦。■
　　佳能(Canon) A495
　　[参考价格] 819元（带国家正规机打发票）
　　[商家名称] 高鸿商城www.tao3c.com
　　[联系方式] 400-650-9676（提及PCPOP网站会获得更好的服务）
　　[联系地址] 北京市海淀区学院路40号研六楼
　　[报价查询] 数码相机产品报价佳能(Canon)数码相机产品报价

