中国概念股周四早盘涨跌互现
　  新浪科技讯 美国东部时间9月18日(北京时间9月18日)消息，受美联储与其它央行联手向金融系统注入巨额资金消息激励，中国概念股周四早盘涨跌互现。
    其中携程网大涨7.43%，报37.6美元；分众传媒大涨6.58%，报23.71美元；正保远程教育集团大涨16.82%，报3.75美元；新华财经传媒大涨10.69%，报1.45美元；珠海炬力大跌9.4%，报2.41美元；德信无线大跌7.37%，报0.88美元；航美传媒大跌9.74%，报6.95美元；巨人网络大跌6.97%，报6.86美元。
  　股票 股价 涨跌幅 
    新浪 34.310 -3.300% 
　　网易 21.980 0.420% 
　　搜狐 55.960 -1.650% 
　　百度 251.190 -1.290% 
　　分众传媒 23.710 6.580% 
　　盛大网络 26.100 1.390% 
　　巨人网络 6.860 -6.790% 
　　第九城市 16.430 1.990% 
　　完美时空 22.860 0.660% 
　　携程网 37.600 7.430% 
　　金融界 11.690 2.720% 
　　艺龙 6.990 0.430% 
　　前程无忧 10.750 -2.270% 
　　灵通网 1.500 -0.660% 
　　空中网 3.660 1.390% 
　　华友世纪 2.570 -2.300% 
　　易居中国 7.870 4.520% 
　　如家快捷 14.420 6.810% 
　　新东方 68.190 1.970% 
　　正保远程教育 3.750 16.820% 
　　华视传媒 13.760 5.240% 
　　航美传媒 6.950 -9.740% 
　　新华财经传媒 1.450 10.690% 
　　永新视博 7.670 -1.290% 
　　UT斯达康 2.600 1.170% 
　　展讯通信 3.250 1.560% 
　　亚信 8.930 -5.200% 
　　中芯国际 1.720 -6.010% 
　　中星微 2.460 -0.810% 
　　珠海炬力 2.410 -9.400% 
　　侨兴环球 2.350 0.000% 
　　德信无线 0.880 -7.370% 
　　无锡尚德 38.400 -2.090% 
　　诺亚舟 4.140 0.980% 
　　深圳迈瑞 33.750 0.510% 
　　中华网投资集团 2.130 3.520% 


