美股大幅低开中国概念股早盘全线大跌
　　新浪科技讯 北京时间9月29日消息，美股周一大幅低开，立法者将就7000亿美元救援法案进行投票，花旗集团拟收购美联银行，全球几大银行与贷款公司被迫寻求各自的政府的支持。道琼斯工业平均指数早盘下跌了165.03点，至10978.1点；道指30种成份股中共有25只股票下跌；纳斯达克综合指数下跌44.12点，至2139.22点。
　　中国概念股周一早盘全线大跌：
　　股票名称　最新价　涨跌幅
　　新浪　33.790　-5.140%
　　网易　21.030　-5.910%
　　搜狐　54.130　-8.320%
　　百度　242.600　-6.960%
　　分众传媒　26.460　-10.310%
　　盛大网络　25.880　-3.860%
　　巨人网络　6.460　-4.150%
　　第九城市　17.590　-5.070%
　　完美时空　22.750　-2.400%
　　携程网　37.210　-6.810%
　　金融界　11.920　-9.010%
　　艺龙　6.950　-0.570%
　　前程无忧　10.460　-3.060%
　　灵通网　1.410　-4.080%
　　空中网　3.890　0.260%
　　华友世纪　2.550　-5.900%
　　易居中国　7.250　-8.340%
　　如家快捷　15.410　-3.780%
　　新东方　60.070　-9.340%
　　正保远程教育　3.890　3.790%
　　华视传媒　14.470　-6.890%
　　航美传媒　7.540　-4.070%
　　新华财经传媒　1.410　-7.230%
　　永新视博　8.410　-1.540%
　　UT斯达康　3.200　-2.740%
　　展讯通信　2.590　-8.480%
　　亚信　9.170　-6.430%
　　中芯国际　1.410　-6.000%
　　中星微　2.420　-4.350%
　　珠海炬力　2.500　-4.940%
　　侨兴环球　2.520　-6.320%
　　德信无线　1.070　-2.730%
　　无锡尚德　34.590　-10.110%
　　诺亚舟　3.590　-9.340%
　　深圳迈瑞　33.110　-7.820%
　　CDC　2.050　-4.210%


