中国概念股周一几乎全线下跌
　　新浪科技讯 北京时间10月28日消息，因投资者担心全球经济将陷入衰退，美股在临收盘前开始跳水，道指收盘下跌2.4%，纳指下跌3.0%，标准普尔500指数下跌3.2%。受大盘影响，中国概念股周一几乎全部下跌，新东方(-10.73%)、中芯国际(-13.4%)、无锡尚德(-18.37%)、 深圳迈瑞(-13.18%)四只股票跌幅超过10%，侨兴环球逆势上涨10.4%。
　　因投资者对全球经济前景愈加悲观，美股上周五收于五年来低点。道指上周下跌了5.3%，标准普尔500指数下跌了6.8%，纳指下跌了9.4%。
　　股票名称　最新价　涨跌幅
　　新浪　25.760　-6.940% 
　　网易　17.740　-7.310% 
　　搜狐　42.730　-4.470% 
　　百度　179.000　-6.390% 
　　分众传媒　12.210　-6.290% 
　　盛大网络　23.610　0.600% 
　　巨人网络　5.780　-5.860% 
　　第九城市　12.280　-4.660% 
　　完美时空　14.730　-5.030% 
　　携程网　24.150　-7.120% 
　　金融界　7.170　-9.810% 
　　艺龙　7.130　2.590% 
　　前程无忧　7.070　1.000% 
　　灵通网　0.860　1.180% 
　　空中网　2.750　-8.330% 
　　华友世纪　1.950　0.520% 
　　易居中国　4.880　-6.330% 
　　如家快捷　7.260　-4.850% 
　　新东方　45.840　-10.730% 
　　正保远程教育　3.720　-5.340% 
　　华视传媒　6.960　-8.060% 
　　航美传媒　4.530　2.490% 
　　新华财经传媒　1.010　-0.980% 
　　永新视博　7.140　-2.990% 
　　UT斯达康　1.880　-2.080% 
　　展讯通信　1.250　-3.850% 
　　亚信　8.770　-4.880% 
　　中芯国际　0.840　-13.400% 
　　中星微　1.410　-6.000% 
　　珠海炬力　1.860　-1.590% 
　　侨兴环球　2.440　10.400% 
　　德信无线　0.860　-1.160% 
　　无锡尚德　11.950　-18.370% 
　　文思信息　5.350　-6.470% 
　　诺亚舟　2.580　-9.470% 
　　深圳迈瑞　17.990　-13.180% 
　　CDC　1.210　-1.630% 

　　新浪科技讯 北京时间10月28日消息，因投资者担心全球经济将陷入衰退，美股在临收盘前开始跳水，道指收盘下跌2.4%，纳指下跌3.0%，标准普尔500指数下跌3.2%。受大盘影响，中国概念股周一几乎全部下跌，新东方(-10.73%)、中芯国际(-13.4%)、无锡尚德(-18.37%)、 深圳迈瑞(-13.18%)四只股票跌幅超过10%，侨兴环球逆势上涨10.4%。
　　因投资者对全球经济前景愈加悲观，美股上周五收于五年来低点。道指上周下跌了5.3%，标准普尔500指数下跌了6.8%，纳指下跌了9.4%。
　　股票名称　最新价　涨跌幅
　　新浪　25.760　-6.940% 
　　网易　17.740　-7.310% 
　　搜狐　42.730　-4.470% 
　　百度　179.000　-6.390% 
　　分众传媒　12.210　-6.290% 
　　盛大网络　23.610　0.600% 
　　巨人网络　5.780　-5.860% 
　　第九城市　12.280　-4.660% 
　　完美时空　14.730　-5.030% 
　　携程网　24.150　-7.120% 
　　金融界　7.170　-9.810% 
　　艺龙　7.130　2.590% 
　　前程无忧　7.070　1.000% 
　　灵通网　0.860　1.180% 
　　空中网　2.750　-8.330% 
　　华友世纪　1.950　0.520% 
　　易居中国　4.880　-6.330% 
　　如家快捷　7.260　-4.850% 
　　新东方　45.840　-10.730% 
　　正保远程教育　3.720　-5.340% 
　　华视传媒　6.960　-8.060% 
　　航美传媒　4.530　2.490% 
　　新华财经传媒　1.010　-0.980% 
　　永新视博　7.140　-2.990% 
　　UT斯达康　1.880　-2.080% 
　　展讯通信　1.250　-3.850% 
　　亚信　8.770　-4.880% 
　　中芯国际　0.840　-13.400% 
　　中星微　1.410　-6.000% 
　　珠海炬力　1.860　-1.590% 
　　侨兴环球　2.440　10.400% 
　　德信无线　0.860　-1.160% 
　　无锡尚德　11.950　-18.370% 
　　文思信息　5.350　-6.470% 
　　诺亚舟　2.580　-9.470% 
　　深圳迈瑞　17.990　-13.180% 
　　CDC　1.210　-1.630% 


