美联储降息中国概念股周三普涨
　　新浪科技讯 北京时间10月30日早消息，联邦公开市场委员会全体成员一致通过降息50个基点的决定，美联储表示经济风险增强，而通货膨胀压力减轻。美股在临收盘前再次变盘，道指在最后10分钟交易中从上涨200余点转为下跌，并收于9000点下方。受美联储降息影响，中国概念股周三全面上涨。
　　周三，道琼斯工业平均指数下跌了74.16点，至8990.96点，跌幅为0.82%；纳斯达克综合指数上涨了7.74点，至1657.21点，涨幅为0.47%；标准普尔500指数下跌了10.42点，至930.09点，跌幅为1.11%。受此影响，中国概念股周三全面上涨，其中分众传媒等六只股票涨幅超过10%。
　　股票名称　最新价　涨跌幅 
　　新浪　31.970　4.410%　
　　网易　20.580　4.730%　
　　搜狐　53.020　1.710%　
　　百度　211.920　1.420%　
　　分众传媒　16.640　11.080%　
　　盛大网络　25.600　-2.330%　
　　巨人网络　6.430　6.810%　
　　第九城市　13.050　7.410%　
　　完美时空　17.500　8.700%　
　　携程网　29.850　11.050%　
　　金融界　8.250　4.700%　
　　艺龙　7.200　0.980%　
　　前程无忧　6.240　-0.950%　
　　灵通网　0.820　-2.380%　
　　空中网　2.990　-0.330%　
　　华友世纪　1.970　1.550%　
　　易居中国　5.850　4.460%　
　　如家快捷　8.120　-2.170%　
　　新东方　56.890　12.480%　
　　正保远程教育　3.500　0.000%　
　　华视传媒　8.200　-0.360%　
　　航美传媒　4.900　6.520%　
　　新华财经传媒　1.000　0.000%　
　　永新视博　6.210　18.060%　
　　UT斯达康　2.070　3.500%　
　　展讯通信　1.240　0.000%　
　　亚信　10.530　-1.310%　
　　中芯国际　0.930　3.330%　
　　中星微　1.700　17.240%　
　　珠海炬力　1.850　2.210%　
　　侨兴环球　2.250　-5.060%　
　　德信无线　0.870　3.580%　
　　无锡尚德　15.400　16.230%　
　　文思信息　6.590　6.120%　
　　诺亚舟　2.660　7.260%　
　　深圳迈瑞　20.790　12.320%　
　　CDC　1.220　-3.540%　 


