美股周五低收中国概念股涨跌互现
　　新浪科技讯 北京时间11月15日早间消息，美股周五低收，零售额的下降反映出美国经济形势的恶化，美股已连续两周下跌。中国概念股周五收盘涨跌互现。
　　道琼斯工业平均指数下跌了337.94点，至8497.31点，跌幅为3.82%。标准普尔500指数下跌了38.00点，至873.29点，跌幅为4.17%。纳斯达克综合指数下跌了79.85点，至1516.85点，跌幅为5.00%。
　　中国概念股周二收盘涨跌互现，其中跌幅超过10%的有分众传媒(-13.600%)、UT斯达康(-12.110%)、中芯国际(-14.060%)等；华视传媒董事会今日批准12月31日前回购5000万美元的公司自身的美国存托股份，股价收盘大涨10.440%。
　　股票名称 最新价 涨跌幅 
　　新浪 26.250 -4.370% 
　　网易 19.650 -1.400% 
　　搜狐 43.320 -6.290% 
　　百度 178.890 -5.780% 
　　分众传媒 6.990 -13.600%
　　盛大网络 24.220 -4.680% 
　　巨人网络 6.040 0.670% 
　　第九城市 12.040 -4.670% 
　　完美时空 16.910 -1.510% 
　　携程网 22.990 -8.190% 
　　金融界 8.000 -0.990% 
　　艺龙 7.100 -0.420% 
　　前程无忧 6.800 7.590% 
　　灵通网 0.830 0.000% 
　　空中网 3.140 3.630% 
　　华友世纪 1.620 3.180% 
　　易居中国 4.950 -3.700% 
　　如家快捷 9.140 4.820% 
　　新东方 54.850 0.260% 
　　正保远程教育 3.840 -1.540% 
　　华视传媒 5.710 10.440%
　　航美传媒 4.890 -5.050%
　　新华财经传媒 1.020 0.000%
　　永新视博 5.770 3.960%
　　UT斯达康 1.670 -12.110% 
　　展讯通信 0.800 -8.060% 
　　亚信 10.570 -8.560% 
　　中芯国际 1.100 -14.060%
　　中星微 1.980 -1.000% 
　　珠海炬力 1.680 -0.590% 
　　侨兴环球 2.140 5.420% 
　　德信无线 0.840 -1.180% 
　　无锡尚德 10.750 -8.900% 
　　文思信息 6.870 1.780% 
　　诺亚舟 2.190 3.300% 
　　CDC 0.980 0.000% 

　　新浪科技讯 北京时间11月15日早间消息，美股周五低收，零售额的下降反映出美国经济形势的恶化，美股已连续两周下跌。中国概念股周五收盘涨跌互现。
　　道琼斯工业平均指数下跌了337.94点，至8497.31点，跌幅为3.82%。标准普尔500指数下跌了38.00点，至873.29点，跌幅为4.17%。纳斯达克综合指数下跌了79.85点，至1516.85点，跌幅为5.00%。
　　中国概念股周二收盘涨跌互现，其中跌幅超过10%的有分众传媒(-13.600%)、UT斯达康(-12.110%)、中芯国际(-14.060%)等；华视传媒董事会今日批准12月31日前回购5000万美元的公司自身的美国存托股份，股价收盘大涨10.440%。
　　股票名称 最新价 涨跌幅 
　　新浪 26.250 -4.370% 
　　网易 19.650 -1.400% 
　　搜狐 43.320 -6.290% 
　　百度 178.890 -5.780% 
　　分众传媒 6.990 -13.600%
　　盛大网络 24.220 -4.680% 
　　巨人网络 6.040 0.670% 
　　第九城市 12.040 -4.670% 
　　完美时空 16.910 -1.510% 
　　携程网 22.990 -8.190% 
　　金融界 8.000 -0.990% 
　　艺龙 7.100 -0.420% 
　　前程无忧 6.800 7.590% 
　　灵通网 0.830 0.000% 
　　空中网 3.140 3.630% 
　　华友世纪 1.620 3.180% 
　　易居中国 4.950 -3.700% 
　　如家快捷 9.140 4.820% 
　　新东方 54.850 0.260% 
　　正保远程教育 3.840 -1.540% 
　　华视传媒 5.710 10.440%
　　航美传媒 4.890 -5.050%
　　新华财经传媒 1.020 0.000%
　　永新视博 5.770 3.960%
　　UT斯达康 1.670 -12.110% 
　　展讯通信 0.800 -8.060% 
　　亚信 10.570 -8.560% 
　　中芯国际 1.100 -14.060%
　　中星微 1.980 -1.000% 
　　珠海炬力 1.680 -0.590% 
　　侨兴环球 2.140 5.420% 
　　德信无线 0.840 -1.180% 
　　无锡尚德 10.750 -8.900% 
　　文思信息 6.870 1.780% 
　　诺亚舟 2.190 3.300% 
　　CDC 0.980 0.000% 


