中国概念股周一早盘普涨
　　新浪科技讯 美国东部时间11月24日10:15(北京时间23:15)消息，花旗集团将获得美国政府的担保与贷款，美股周一高开，延续了上周五的上涨趋势。
　　道琼斯工业平均指数上涨了134.13点，至8180.55点；标准普尔500指数上涨了15.39点，至815.42点；纳斯达克综合指数上涨了26.08点，至1410.43点。
　　股票名称 最新价 涨跌幅
　　新浪 24.830 4.810% 
　　网易 17.160 7.920% 
　　搜狐 39.270 4.690% 
　　百度 113.250 0.500% 
　　分众传媒 6.560 -0.150% 
　　盛大网络 23.510 3.300% 
　　巨人网络 6.040 0.170% 
　　第九城市 11.130 1.920% 
　　完美时空 15.540 -1.210% 
　　携程网 19.550 3.880% 
　　金融界 5.210 3.580% 
　　艺龙 6.950 1.310% 
　　前程无忧 6.410 0.940% 
　　灵通网 0.730 0.000% 
　　空中网 3.200 0.950% 
　　华友世纪 1.460 0.000% 
　　易居中国 5.180 1.170% 
　　如家快捷 7.920 8.340% 
　　新东方 42.400 6.080% 
　　正保远程教育 2.800 3.700% 
　　华视传媒 5.060 2.640% 
　　航美传媒 5.570 0.180% 
　　新华财经传媒 0.440 10.000% 
　　永新视博 4.860 4.290% 
　　UT斯达康 1.440 -2.040% 
　　展讯通信 0.840 6.330% 
　　亚信 9.900 4.430% 
　　中芯国际 0.990 -2.940% 
　　中星微 1.730 -0.570% 
　　珠海炬力 1.450 3.560% 
　　侨兴环球 1.470 1.800% 
　　德信无线 0.770 5.470% 
　　无锡尚德 6.150 1.650% 
　　文思信息 5.910 6.490% 
　　诺亚舟 2.460 2.600% 
　　CDC 0.740 5.700% 


