中国概念股周一早盘普跌
　　新浪科技讯 美国东部时间1月12日10:00(北京时间1月12日23:00)消息，美股周一小幅低开，投资者在财报季节到来之前普遍持谨慎态度。美国铝业将于收盘后发布财报，为第四季度财报季节拉开帷幕。
　　道琼斯工业平均指数下跌了16.65点，至8582.53点；标准普尔500指数下跌3点，至887.35点；纳斯达克综合指数下跌了2.9点，至1568.69点。
　　受大盘影响，中国概念股一早盘普跌，中芯国际大跌11.32%。
　　股票名称 最新价 涨跌幅 
　　新浪 21.000 -1.550% 
　　网易 18.430 -0.740% 
　　搜狐 43.000 -4.250% 
　　百度 119.490 -0.950% 
　　分众传媒 8.350 -4.680% 
　　盛大网络 27.380 -2.740% 
　　巨人网络 6.080 -0.980% 
　　第九城市 14.550 -2.870% 
　　完美时空 17.850 -0.890% 
　　携程网 20.030 -0.250% 
　　金融界 7.980 -1.600% 
　　艺龙 7.220 0.280% 
　　前程无忧 6.490 -5.260% 
　　灵通网 1.300 0.000% 
　　空中网 3.500 0.000% 
　　华友世纪 1.600 -3.320% 
　　易居中国 7.150 -7.140% 
　　如家快捷 8.810 -3.930% 
　　新东方 48.980 -0.040% 
　　正保远程教育 4.260 1.190% 
　　华视传媒 7.320 -4.940% 
　　航美传媒 5.410 0.190% 
　　新华财经传媒 0.680 4.580% 
　　永新视博 6.600 -2.800% 
　　UT斯达康 1.870 -4.100% 
　　展讯通信 1.050 3.960% 
　　亚信 10.680 -2.020% 
　　中芯国际 1.880 -11.320% 
　　中星微 2.190 1.350% 
　　珠海炬力 1.620 -1.850% 
　　侨兴环球 1.980 -2.460% 
　　德信无线 1.850 7.560% 
　　无锡尚德 12.020 -5.430% 
　　文思信息 5.510 0.360% 
　　诺亚舟 3.100 -2.210% 
　　CDC 1.170 -1.680% 

　　新浪科技讯 美国东部时间1月12日10:00(北京时间1月12日23:00)消息，美股周一小幅低开，投资者在财报季节到来之前普遍持谨慎态度。美国铝业将于收盘后发布财报，为第四季度财报季节拉开帷幕。
　　道琼斯工业平均指数下跌了16.65点，至8582.53点；标准普尔500指数下跌3点，至887.35点；纳斯达克综合指数下跌了2.9点，至1568.69点。
　　受大盘影响，中国概念股一早盘普跌，中芯国际大跌11.32%。
　　股票名称 最新价 涨跌幅 
　　新浪 21.000 -1.550% 
　　网易 18.430 -0.740% 
　　搜狐 43.000 -4.250% 
　　百度 119.490 -0.950% 
　　分众传媒 8.350 -4.680% 
　　盛大网络 27.380 -2.740% 
　　巨人网络 6.080 -0.980% 
　　第九城市 14.550 -2.870% 
　　完美时空 17.850 -0.890% 
　　携程网 20.030 -0.250% 
　　金融界 7.980 -1.600% 
　　艺龙 7.220 0.280% 
　　前程无忧 6.490 -5.260% 
　　灵通网 1.300 0.000% 
　　空中网 3.500 0.000% 
　　华友世纪 1.600 -3.320% 
　　易居中国 7.150 -7.140% 
　　如家快捷 8.810 -3.930% 
　　新东方 48.980 -0.040% 
　　正保远程教育 4.260 1.190% 
　　华视传媒 7.320 -4.940% 
　　航美传媒 5.410 0.190% 
　　新华财经传媒 0.680 4.580% 
　　永新视博 6.600 -2.800% 
　　UT斯达康 1.870 -4.100% 
　　展讯通信 1.050 3.960% 
　　亚信 10.680 -2.020% 
　　中芯国际 1.880 -11.320% 
　　中星微 2.190 1.350% 
　　珠海炬力 1.620 -1.850% 
　　侨兴环球 1.980 -2.460% 
　　德信无线 1.850 7.560% 
　　无锡尚德 12.020 -5.430% 
　　文思信息 5.510 0.360% 
　　诺亚舟 3.100 -2.210% 
　　CDC 1.170 -1.680% 


