中国概念股周三早盘几乎全线上涨
　　新浪科技讯 美国东部时间1月21日10:19(北京时间1月21日23:19)消息，美股在昨日大跌后周三高开，IBM调升业绩预报增强了市场信心。中国概念股早盘普遍上涨。
　　道琼斯工业平均指数上涨了132.22点，至8081.31点；标准普尔500指数上涨了14.95点，至820.17点；纳斯达克综合指数上涨了31.77点，至1472.63点。
　　股票名称 最新价  涨跌幅 
　　新浪 20.640   3.200% 
　　网易 17.490   1.270% 
　　搜狐 39.000   1.140% 
　　百度 113.500   3.510% 
　　分众传媒 7.610   2.700% 
　　盛大 27.590  -0.900% 
　　巨人网络 5.640   0.710% 
　　第九城市 15.360   8.700% 
　　完美时空 14.810   1.860% 
　　携程网 20.500   2.450% 
　　金融界 7.250   0.410% 
　　艺龙 7.800   1.300% 
　　前程无忧 6.500   0.780% 
　　掌上灵通 1.220   0.000% 
　　空中网 3.830   0.000% 
　　华友世纪 1.740   0.000% 
　　易居中国 5.990   5.460% 
　　如家快捷 7.850   2.880% 
　　新东方 50.100  -0.600% 
　　正保远程教育 4.190   2.200% 
　　华视传媒 6.410  -1.690% 
　　航美传媒 5.400   2.470% 
　　新华财经传媒 0.520   0.020% 
　　永新同方 6.190   2.480% 
　　UT斯达康 1.410  -2.760% 
　　展讯通信 0.910  -2.380% 
　　亚信科技 9.080   1.000% 
　　中芯国际 1.610   2.550% 
　　中星微电子 2.090   4.500% 
　　炬力 1.450  -4.610% 
　　侨兴环球 1.740   1.750% 
　　德信无线 1.420   3.650% 
　　无锡尚德 9.610   3.220% 
　　文思信息 5.780   2.850% 
　　诺亚舟 2.510   5.460% 


