中国概念股周一收盘涨跌互现
　　新浪科技讯 北京时间2月3日早间消息，美股周一涨跌互现，科技股上涨，工业股下跌，市场所关注的两方面的内容分别为参议院将要审议的经济刺激计划及为银行提供更多帮助的计划，而利空经济数据及更多裁员消息使投资者情绪更加悲观。受此影响，中国概念股涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了64.11点，至7936.75点，跌幅为0.80%；标准普尔500指数下跌了0.44点，至825.44点，跌幅为0.05%；纳斯达克综合指数上涨了18.01点，至1494.43点，涨幅为1.22%。
　　股票名称 最新价 涨跌幅 
　　新浪 20.230 -1.120% 
　　网易 18.730 -1.470% 
　　搜狐 38.660 -2.250% 
　　百度 125.520 -2.520% 
　　分众传媒 7.070 -4.200% 
　　盛大 29.220 0.410% 
　　巨人网络 5.800 -3.330% 
　　第九城市 14.900 -1.460% 
　　完美时空 13.910 -6.080% 
　　携程网 20.420 -2.720% 
　　金融界 8.100 0.620% 
　　艺龙 7.250 4.920% 
　　前程无忧 6.420 -2.130% 
　　掌上灵通 1.250 0.000% 
　　空中网 3.970 -3.170% 
　　华友世纪 1.750 0.570% 
　　易居中国 6.560 -1.200% 
　　如家快捷 8.040 -3.130% 
　　新东方 49.900 4.310% 
　　正保远程教育 4.400 0.920% 
　　华视传媒 5.730 -7.280% 
　　航美传媒 4.860 -0.820% 
　　新华财经传媒 0.530 -5.340% 
　　永新视博 6.300 0.640% 
　　UT斯达康 1.510 2.720% 
　　展讯通信 0.930 1.080% 
　　亚信科技 8.970 2.750% 
　　中芯国际 1.690 -1.170% 
　　中星微电子 1.950 5.980% 
　　炬力 1.480 -1.330% 
　　侨兴环球 1.480 -2.630% 
　　德信无线 1.340 -2.190% 
　　无锡尚德 8.960 -4.780% 
　　文思信息 4.800 2.130% 
　　诺亚舟 2.470 -13.040% 
　　中华网 0.750 -5.060% 


