美股周三收高中国概念股多数上涨
　　新浪科技讯 美国东部时间3月18日下午(北京时间3月19日早)消息，美联储当地时间下午发表的货币政策声明刺激美股周三收高，并导致长期国债市场上涨。受此大盘影响，中国概念股今日在纳斯达克多数上涨。
　　截至收盘，道琼斯工业平均指数上涨了90.88点，至7486.58点，涨幅为1.23%；标准普尔500指数上涨了16.23点，至794.35点，涨幅为2.09%；纳斯达克综合指数上涨了29.11点，至1491.22点，涨幅为1.99%。
　　中国概念股周三多数上涨，其中，前程无忧、中华网和新华悦动传媒三公司股票涨幅超10%，分别上涨11.24%、10.62%和10.32%。
　　股票 股价 涨跌幅 
　　新浪 20.740 -0.530% 
　　网易 23.430 0.390% 
　　搜狐 44.530 -7.940% 
　　百度 175.000 -0.230% 
　　分众传媒 5.910 0.000% 
　　盛大 35.690 -2.330% 
　　巨人网络 7.380 -0.270% 
　　第九城市 12.900 1.180% 
　　完美时空 12.660 -0.310% 
　　携程网 27.580 3.490% 
　　金融界 9.680 2.870% 
　　艺龙 6.260 3.810% 
　　前程无忧 6.830 11.240% 
　　掌上灵通 1.300 4.000% 
　　空中网 5.200 1.090% 
　　华友世纪 1.250 8.700% 
　　易居中国 7.890 -3.550% 
　　如家快捷 9.950 1.950% 
　　新东方 47.310 2.910% 
　　正保远程教育 5.500 -0.720% 
　　华视传媒 5.740 2.680% 
　　航美传媒 4.160 -2.580% 
　　新华财经传媒 0.520 10.620% 
　　永新视博 7.450 2.480% 
　　UT斯达康 0.790 8.190% 
　　展讯通信 0.930 -5.100% 
　　亚信科技 14.970 -0.200% 
　　中芯国际 1.840 6.980% 
　　中星微电子 1.810 0.560% 
　　炬力 1.480 2.780% 
　　侨兴环球 1.470 5.000% 
　　德信无线 1.260 8.610% 
　　无锡尚德 7.030 3.990% 
　　文思信息 4.500 0.000% 
　　诺亚舟 3.200 -7.510% 
　　中华网 1.070 10.320% 


