美股周二微跌中国概念股多数下跌
　　新浪科技讯 北京时间4月29日凌晨消息，美股周二微跌，金融股的下跌抵消了交通运输股反弹的影响。美国政府分别向花旗集团和美国银行施压，要求两家银行筹集更多现金。同时世界卫生组织宣布将猪流感疫情的警告级别提高至四级。受大盘影响，中国概念股在纳斯达克几乎全面下跌。
　　截至收盘，道琼斯工业平均指数下跌了8.05点，至8016.95点，跌幅为0.10%；纳斯达克综合指数下跌了5.60点，至1673.81点，跌幅为0.33%，标准普尔500指数下跌了2.35点，至855.16点，跌幅为0.27%。
　　股票 股价 涨跌幅 
　　新浪 27.230 -5.390% 
　　网易 29.660 -1.950% 
　　搜狐 49.360 -2.320% 
　　百度 221.190 -1.630% 
　　分众传媒 6.350 -4.510% 
　　盛大 46.110 -2.520% 
　　巨人网络 8.520 0.240% 
　　畅游 28.000 4.480% 
　　第九城市 9.260 0.540% 
　　完美时空 16.880 0.600% 
　　携程网 29.510 -4.060% 
　　金融界 11.100 0.360% 
　　艺龙 6.000 -6.530% 
　　前程无忧 7.760 -3.960% 
　　掌上灵通 1.420 0.000% 
　　空中网 6.120 -2.080% 
　　华友世纪 2.000 0.000% 
　　易居中国 11.280 -2.320% 
　　如家快捷 12.910 -4.160% 
　　新东方 52.150 -2.830% 
　　正保远程教育 5.900 0.000% 
　　华视传媒 6.270 -4.710% 
　　航美传媒 5.450 -2.680% 
　　新华悦动传媒 0.560 -6.670% 
　　永新视博 7.880 2.200% 
　　UT斯达康 1.180 7.270% 
　　展讯通信 1.480 -1.330% 
　　亚信科技 16.160 -1.280% 
　　中芯国际 1.820 -5.210% 
　　中星微电子 1.750 -5.410% 
　　炬力 1.720 -0.580% 
　　侨兴环球 1.660 -1.780% 
　　德信无线 1.480 -1.330% 
　　无锡尚德 12.230 -4.600% 
　　文思信息 7.960 7.860% 
　　诺亚舟 2.990 -0.330% 
　　中华网 1.160 -1.690% 


