美股大幅上扬中国概念股周一普遍上涨
　　新浪科技讯 北京时间5月5日凌晨消息，受金融板块推动，周一美国股市收高，主要股指均大幅上扬。中国概念股普遍上涨。</ 
　　标准普尔500指数收于900点关口之上。房地产行业的一些经济数据超出市场预期，增强了投资者信心。
　　受海外市场良好表现推动，周一美股高开。开盘后不久美国公布的经济数据超出预期，股市继续上扬。
　　周一收盘，道琼斯工业平均指数上涨214.33点，报8,426.74点，涨幅2.61%。标准普尔500指数上涨29.71点，报1,763.56点，涨幅3.39%。纳斯达克综合指数上涨44.36点，报1,763.56点，涨幅2.58%。
　　上周道指累计上涨1.7%；标普500指数累计上涨1.3%；纳指累计上扬1.5%。
　　受大盘影响周一中国概念股普遍上涨。其中华友世纪因被收购传闻影响，股价大涨26.11%。 
　　股票名称 最新价 涨跌幅 
　　新浪 28.840 1.190% 
　　网易 30.760 2.640% 
　　搜狐 57.550 1.410% 
　　百度 248.250 5.360% 
　　分众传媒 6.860 6.030% 
　　盛大 52.430 4.440% 
　　巨人网络 8.240 -1.200% 
　　畅游 32.620 1.460% 
　　第九城市 9.660 3.320% 
　　完美时空 18.390 1.550% 
　　携程网 33.430 8.080% 
　　金融界 13.420 15.410% 
　　艺龙 6.920 6.790% 
　　前程无忧 8.760 8.820% 
　　掌上灵通 1.410 -2.760% 
　　空中网 7.050 9.630% 
　　华友世纪 2.500 26.110% 
　　易居中国 12.910 6.520% 
　　如家快捷 14.180 7.750% 
　　新东方 56.460 7.090% 
　　正保远程教育 5.300 -8.300% 
　　华视传媒 5.720 4.950% 
　　航美传媒 6.800 17.240% 
　　新华悦动传媒 0.720 20.130% 
　　永新视博 10.110 -7.160% 
　　UT斯达康 1.360 16.240% 
　　展讯通信 1.800 19.210% 
　　亚信科技 17.410 4.730% 
　　中芯国际 2.200 9.450% 
　　中星微电子 1.850 2.780% 
　　炬力 1.890 2.190% 
　　侨兴环球 2.100 19.320% 
　　德信无线 1.730 11.610% 
　　无锡尚德 16.550 13.510% 
　　文思信息 7.960 0.760% 
　　诺亚舟 3.230 4.190% 
　　中华网 1.320 10.000% 


