中国概念股周二涨跌互现
　　新浪科技讯 北京时间5月6日凌晨消息，周二美股收低，但尾盘跌幅收窄。中国概念股涨跌互现。据路透社报道，美国金融专业人士、学术专家和美国证券交易行业观察家普遍认为，美国证监会不应该再度实行用于限制卖空的一套股票报价规则，但对证监会能够采取其他什么有效措施却没有达成一致意见。
　　此外，投资者担心美国政府可能勒令10家银行增加资本、美国4月份服务业活动仍在萎缩，以及投资者在近来股市上涨之后获利回吐，也造成了股市下滑。
　　周二道琼斯工业平均指数下跌16.09点，收于8,410.65点，跌幅0.19%。标准普尔500指数指数下跌3.44点，收于903.80点，跌幅0.38%。纳斯达克综合指数指数下跌9.44点，收于1,754.12点，跌幅0.54%。
　　周二中国概念股涨跌互现，各支股票涨跌幅度均不大。
　　股票名称 最新价 涨跌幅
　　新浪 28.130 -2.460%
　　网易 31.090 1.070%
　　搜狐 56.190 -2.360%
　　百度 249.800 0.620%
　　分众传媒 7.490 9.180%
　　盛大 51.040 -2.650%
　　巨人网络 8.290 0.610%
　　畅游 32.020 -1.840%
　　第九城市 9.490 -1.760%
　　完美时空 17.980 -2.230%
　　携程网 32.900 -1.590%
　　金融界 13.300 -0.910%
　　艺龙 6.780 -2.020%
　　前程无忧 8.800 0.460%
　　掌上灵通 1.510 7.090%
　　空中网 6.810 -3.390%
　　华友世纪 2.580 3.200%
　　易居中国 12.520 -3.020%
　　如家快捷 13.960 -1.550%
　　新东方 56.930 0.830%
　　正保远程教育 5.060 -4.530%
　　华视传媒 5.800 1.400%
　　航美传媒 6.500 -4.410%
　　新华悦动传媒 0.730 1.430%
　　永新视博 9.780 -3.260%
　　UT斯达康 1.400 2.940%
　　展讯通信 1.770 -1.670%
　　亚信科技 17.800 2.260%
　　中芯国际 2.070 -5.910%
　　中星微电子 1.870 1.080%
　　炬力 1.990 5.270%
　　侨兴环球 2.030 -3.330%
　　德信无线 1.750 1.160%
　　无锡尚德 16.510 -0.240%
　　文思信息 8.030 0.880%
　　诺亚舟 3.190 -1.240%
　　中华网 1.340 1.520%


