中国概念股周五涨跌互现
　　新浪科技讯 北京时间5月30日凌晨消息，受金融股尾盘突然发力刺激，美股周五收高。中国概念股今日在纳斯达克涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨了96.53点，报收8500.33点，涨幅为1.15%；纳斯达克综合指数上涨了22.54点，报收1774.33点，涨幅为1.29%，标准普尔500指数上涨了12.31点，报收919.14点，涨幅为1.36%。
　　股票 股价 涨跌幅
　　新浪 28.110 -2.360%
　　网易 34.580 0.960%
　　搜狐 63.140 7.860%
　　百度 263.950 2.230%
　　分众传媒 8.600 1.900%
　　盛大 57.620 4.760%
　　巨人网络 7.490 -0.660%
　　畅游 32.900 2.810%
　　第九城市 9.140 1.220%
　　完美时空 21.190 -1.530%
　　携程网 40.950 8.650%
　　金融界 12.520 4.160%
　　艺龙 6.350 -0.630%
　　前程无忧 8.670 2.970%
　　掌上灵通 1.900 1.060%
　　空中网 9.700 7.900%
　　华友世纪 2.930 1.030%
　　易居中国 14.650 7.560%
　　如家快捷 15.470 7.880%
　　新东方 54.960 -0.450%
　　正保远程教育 5.790 -0.170%
　　华视传媒 6.030 0.330%
　　航美传媒 6.680 -1.400%
　　新华悦动传媒 0.690 0.000%
　　永新视博 9.000 -1.750%
　　UT斯达康 2.070 1.970%
　　展讯通信 1.800 0.000%
　　亚信科技 20.960 0.770%
　　中芯国际 2.620 -2.240%
　　中星微电子 2.250 11.390%
　　炬力 2.020 -0.250%
　　侨兴环球 1.960 -1.010%
　　德信无线 1.890 0.010%
　　无锡尚德 16.340 5.830%
　　诺亚舟 4.450 1.370%
　　中华网 1.650 -3.510%


