中国概念股周二早盘普跌 
　　新浪科技讯 美国东部时间6月2日10:02(北京时间6月2日22:02)消息，美股在连续上涨4个交易日后周三低开，标准普尔500指数在4天里共上涨近6%。受大盘影响，中国概念股周二早盘普跌 。
　　道琼斯工业平均指数下跌了40.14点，至8700.73点，跌幅为0.46%；纳斯达克综合指数下跌了12.53点，至1824.27点，跌幅为0.68%，标准普尔500指数下跌了4.53点，至940.21点，跌幅为0.48%。
　　股票名称 最新价 涨跌幅
　　新浪 30.690 -2.110%
　　网易 35.780 -0.110%
　　搜狐 64.680 -0.930%
　　百度 277.270 -0.260%
　　分众传媒 8.390 -3.340%
　　盛大 59.960 -0.730%
　　巨人网络 8.910 5.070%
　　畅游 37.180 -1.250%
　　第九城市 10.700 0.850%
　　完美时空 21.560 -2.000%
　　携程网 40.800 -3.040%
　　金融界 12.380 -1.200%
　　艺龙 6.280 -3.080%
　　前程无忧 8.980 0.560%
　　掌上灵通 2.100 -0.140%
　　空中网 9.500 -4.430%
　　华友世纪 3.210 0.310%
　　易居中国 14.390 -5.390%
　　如家快捷 17.280 -0.690%
　　新东方 59.660 0.730%
　　正保远程教育 5.970 2.580%
　　华视传媒 6.360 -3.340%
　　航美传媒 6.570 -0.300%
　　新华悦动传媒 0.780 -1.270%
　　永新视博 9.100 -1.300%
　　UT斯达康 2.150 -4.020%
　　展讯通信 2.020 -2.420%
　　亚信科技 21.490 0.990%
　　中芯国际 2.640 -1.120%
　　中星微电子 2.200 -0.090%
　　炬力 2.100 -0.480%
　　侨兴环球 2.280 4.590%
　　德信无线 2.330 6.390%
　　无锡尚德 16.140 -5.500%
　　诺亚舟 4.430 -0.230%
　　中华网 1.650 -4.070%


