中国概念股周一普遍下跌
　　新浪科技讯 北京时间6月16日凌晨消息，受区域性制造业以及住房市场数据欠佳以及资源股大幅下跌影响，美股周一低收。中国概念股周一普遍下跌。
　　市场呈普跌态势，标准普尔500成份股中大约有96%的股票下跌。原材料与能源股跌幅较大。
　　日本日经指数下跌了1%，香港恒生指数下跌了2.1%，英国富时100指数下跌了1.7%，德国DAX指数下跌了2.2%，法国CAC-40指数下跌了1.7%。
　　截至收盘，道琼斯工业平均指数下跌了187.13点，至8612.13点，跌幅为2.13%；纳斯达克综合指数下跌了42.42点，至1816.38点，跌幅为2.28%，标准普尔500指数下跌了22.49点，至923.72点，跌幅为2.38%。
　　受大盘影响，中国概念股周一普遍下跌。跌幅较大的股票分别是：华视传媒，跌幅达10.240%；UT斯达康，跌幅达10.880%。
　　股票名称 最新价 涨跌幅
　　新浪 29.060 -3.620%
　　网易 35.040 -1.990%
　　搜狐 65.910 -1.010%
　　百度 292.310 1.150%
　　分众传媒 7.040 -6.510%
　　盛大 54.400 -5.280%
　　巨人网络 8.240 -4.410%
　　畅游 38.610 -6.850%
　　第九城市 10.460 -5.600%
　　完美时空 24.350 -3.640%
　　携程网 41.850 -6.040%
　　金融界 10.920 -3.670%
　　艺龙 6.350 -2.310%
　　前程无忧 8.770 -5.290%
　　掌上灵通 2.250 -1.320%
　　空中网 9.590 -1.540%
　　华友世纪 3.800 0.000%
　　易居中国 14.900 -6.410%
　　如家快捷 16.080 -4.850%
　　新东方 60.500 -0.300%
　　正保远程教育 6.490 -0.310%
　　华视传媒 5.520 -10.240%
　　航美传媒 6.930 -1.700%
　　新华悦动传媒 0.850 -6.590%
　　永新视博 9.120 -5.590%
　　UT斯达康 1.720 -10.880%
　　展讯通信 2.690 -1.100%
　　亚信科技 19.680 -7.740%
　　中芯国际 2.610 -4.400%
　　中星微电子 1.980 -1.000%
　　炬力 2.050 -5.090%
　　侨兴环球 2.130 -9.360%
　　德信无线 2.300 -4.170%
　　无锡尚德 17.840 -1.820%
　　诺亚舟 3.840 0.260%
　　中华网 1.550 -6.630%


