美股大幅低开中国概念股早盘普遍下跌
　　新浪科技讯 北京时间7月2日晚间讯，因美国6月失业率从5月的9.4%上升至9.5%，创26年新高，美股周四大幅低开。中国概念股周四早盘普遍下跌。
　　美东时间周四上午9:56(北京时间7月2日21:56)，道琼斯工业平均指数下跌至8344点，跌幅为1.88%；纳斯达克综合指数下跌至1804点，跌幅为2.25%，标准普尔500指数下跌至904点，跌幅为2.05%。中国概念股周四早盘普遍下跌。
　　股票名称 最新价 涨跌幅
　　新浪 28.360 -3.040%
　　网易 33.420 -3.490%
　　搜狐 60.570 -3.430%
　　百度 289.800 -1.790%
　　分众传媒 7.930 -3.880%
　　盛大 52.780 -2.740%
　　巨人网络 8.000 -1.840%
　　畅游 39.060 -4.550%
　　第九城市 9.630 -1.230%
　　完美时空 29.350 -2.530%
　　携程网 44.840 -3.900%
　　金融界 10.350 -1.990%
　　艺龙 6.500 0.000%
　　前程无忧 11.340 -2.160%
　　掌上灵通 2.170 -3.120%
　　空中网 10.400 -4.680%
　　华友世纪 3.850 -1.790%
　　易居中国 15.090 -3.330%
　　如家快捷 15.210 -2.870%
　　新东方 64.010 -1.730%
　　正保远程教育 6.800 -3.950%
　　华视传媒 5.920 -2.950%
　　航美传媒 6.060 -8.600%
　　新华悦动传媒 0.900 1.400%
　　永新视博 8.660 -3.350%
　　UT斯达康 1.550 -6.630%
　　展讯通信 2.800 -3.450%
　　亚信科技 16.360 -3.990%
　　中芯国际 2.530 -1.520%
　　中星微电子 2.020 -8.180%
　　炬力 1.980 -0.500%
　　侨兴环球 1.780 -4.300%
　　德信无线 2.010 -4.290%
　　无锡尚德 18.340 -1.230%
　　诺亚舟 3.880 0.000%
　　中华网 1.480 -4.520%

