美股周二大跌中国概念股多数下跌
　　新浪科技讯 北京时间7月8日凌晨消息，因油价的再次暴跌意味着全球经济快速复苏的愿望已经破灭， 美股周二大幅下跌，中国概念股今日多数下跌。
　　截至收盘，道琼斯工业平均指数下跌了161.27点，至8163.60点，跌幅为1.94%；纳斯达克综合指数下跌了41.23点，至1746.17点，跌幅为2.31%；标准普尔500指数下跌了17.69点，至881.03点，跌幅为1.97%。
　　股票 股价 涨跌幅
　　新浪 27.350 -2.320%
　　网易 34.040 0.380%
　　搜狐 57.620 -1.970%
　　百度 276.150 -3.380%
　　分众传媒 7.720 -2.770%
　　盛大 55.260 2.330%
　　巨人网络 7.650 -3.040%
　　畅游 38.440 -3.510%
　　第九城市 9.320 0.000%
　　完美时空 27.420 -4.660%
　　携程网 42.240 -3.120%
　　金融界 9.520 -6.020%
　　艺龙 6.350 -1.090%
　　前程无忧 11.340 -0.090%
　　掌上灵通 2.160 0.930%
　　空中网 10.170 -3.240%
　　华友世纪 3.800 -1.810%
　　易居中国 14.740 -3.090%
　　如家快捷 13.960 0.580%
　　新东方 61.090 -1.850%
　　正保远程教育 6.570 1.080%
　　华视传媒 5.670 -2.410%
　　航美传媒 5.550 -5.770%
　　新华悦动传媒 0.850 3.170%
　　永新视博 7.810 -2.380%
　　UT斯达康 1.470 -2.000%
　　展讯通信 2.600 -7.470%
　　亚信科技 16.120 2.150%
　　中芯国际 2.450 -3.540%
　　中星微电子 2.160 -1.370%
　　炬力 1.980 0.560%
　　侨兴环球 1.730 -2.810%
　　德信无线 2.210 6.250%
　　无锡尚德 15.690 -8.300%
　　诺亚舟 3.870 0.260%
　　中华网 1.370 -3.520%

