中国互联网公司股价周一涨跌互现
　　新浪科技讯 北京时间8月25日早间消息，美股在连续上涨4个交易日后周一暂停了上冲的脚步，主要股指收盘涨跌互见。中国互联网公司股价今日涨跌互现，各公司股价无较大涨跌。
　　截至收盘，道琼斯工业平均指数上涨了1.28点，至9507.88点，涨幅为0.15%；纳斯达克综合指数下跌了3.02点，至2017.88点，跌幅为0.15%；标准普尔500指数下跌了0.91点，至1025.22点，跌幅为0.09%。中国互联网公司股价今日涨跌互现，各公司股价无较大涨跌。
　　股票名称 股票代码 最新价 涨跌幅
　　新浪 SINA 31.8 0.95%
　　网易 NTES 42.28 -0.52%
　　搜狐 SOHU 64.52 0.67%
　　百度 BIDU 345 0.00%
　　分众传媒 FMCN 8.88 -1.77%
　　盛大 SNDA 48.75 0.35%
　　巨人网络 GA 7.75 0.91%
　　畅游 CYOU 38.08 -1.45%
　　第九城市 NCTY 8.44 -1.29%
　　完美时空 PWRD 39.01 -0.15%
　　携程网 CTRP 52.16 1.42%
　　金融界 JRJC 10.17 -0.78%
　　艺龙 LONG 7.58 1.74%
　　前程无忧 JOBS 12.78 -2.81%
　　掌上灵通 LTON 2.09 -0.95%
　　空中网 KONG 12.55 0.64%
　　华友世纪 HRAY 3.5 0.00%
　　易居中国 EJ 18.75 -2.09%
　　如家快捷 HMIN 26.01 -0.04%
　　新东方 EDU 74.33 -1.67%
　　正保远程教育 DL 8.06 0.75%
　　华视传媒 VISN 5.66 -1.57%
　　航美传媒 AMCN 7.11 -1.80%
　　新华悦动传媒 XSEL 1.6 1.91%
　　永新视博 STV 7.04 0.72%
　　UT斯达康 UTSI 1.72 2.38%
　　展讯通信 SPRD 3.32 -2.92%
　　亚信科技 ASIA 18.74 -0.16%
　　中芯国际 SMI 2.55 0.79%
　　中星微电子 VIMC 3 3.45%
　　炬力 ACTS 2.31 0.87%
　　侨兴环球 XING 1.98 2.06%
　　德信无线 CNTF 2.65 5.58%
　　无锡尚德 STP 14.79 -3.33%
　　文思信息 VIT 14.06 0.14%
　　诺亚舟 NED 5.35 4.90%
　　中华网 CHINA 2.63 3.14%
　　CDC软件 CDCS 8.8 -3.83%
　　侨兴移动 QXM 2.8 4.87%
　　国人通信 GRRF 4.99 8.01%

