中国互联网公司股价周二涨跌互现
　　新浪科技讯 北京时间8月26日早间消息，因消费者信心指数以及房价指数均好于预期，美股周二小幅上涨，中国互联网公司股价今日涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨了30.01点，至9539.29点，涨幅为0.32%；纳斯达克综合指数上涨了6.25点，至2024.23点，涨幅为0.31%；标准普尔500指数上涨了2.43点，至1028.00点，涨幅为0.24%。中国互联网公司股价今日涨跌互现，各公司股价无较大涨跌。
　　股票名称 股票代码 最新价 涨跌幅
　　新浪 SINA 31.52 -0.88%
　　网易 NTES 42.58 0.71%
　　搜狐 SOHU 65.37 1.32%
　　百度 BIDU 347.82 0.82%
　　分众传媒 FMCN 9.18 3.38%
　　盛大 SNDA 47.97 -1.60%
　　巨人网络 GA 7.59 -2.06%
　　畅游 CYOU 37.34 -1.94%
　　第九城市 NCTY 8.5 0.71%
　　完美时空 PWRD 39.97 2.46%
　　携程网 CTRP 50.12 -3.91%
　　金融界 JRJC 10.06 -1.08%
　　艺龙 LONG 7.61 0.40%
　　前程无忧 JOBS 13.1 2.50%
　　掌上灵通 LTON 2.18 4.31%
　　空中网 KONG 12.35 -1.59%
　　华友世纪 HRAY 3.5 0.00%
　　易居中国 EJ 19.26 2.72%
　　如家快捷 HMIN 26.2 0.73%
　　新东方 EDU 72.07 -3.04%
　　正保远程教育 DL 8.02 -0.50%
　　华视传媒 VISN 5.68 0.35%
　　航美传媒 AMCN 6.83 -3.94%
　　新华悦动传媒 XSEL 1.7 6.25%
　　永新视博 STV 7.05 0.14%
　　UT斯达康 UTSI 1.76 2.33%
　　展讯通信 SPRD 3.42 3.01%
　　亚信科技 ASIA 18.73 -0.05%
　　中芯国际 SMI 2.6 1.96%
　　中星微电子 VIMC 3 0.00%
　　炬力 ACTS 2.36 2.16%
　　侨兴环球 XING 2.01 1.49%
　　德信无线 CNTF 2.66 0.38%
　　无锡尚德 STP 14.56 -1.56%
　　文思信息 VIT 14.02 -0.28%
　　诺亚舟 NED 4.6 -14.50%
　　中华网 CHINA 2.6 -1.14%
　　CDC软件 CDCS 8.75 -0.57%
　　侨兴移动 QXM 3.09 10.36%
　　国人通信 GRRF 4.73 -5.21%

