中国互联网公司周一股价全线下跌
　　新浪科技讯 北京时间9月1日凌晨消息，受亚洲股市大跌影响，美股周一盘中大幅下跌，能源与原材料股领跌。美股在临收盘前有所反弹。中国互联网公司股价今日在纳斯达克几乎全线下跌，仅四公司股票微涨均不足1%。九城下跌8.59%，报7.50美元，当日最低跌至7.49美元，为过去52周最低点。
　　截至收盘，道琼斯工业平均指数下跌了47.46点，至9496.74点，跌幅为0.50%；纳斯达克综合指数下跌了19.71点，至2009.06点，跌幅为0.97%；标准普尔500指数下跌了8.23点，至1020.70点，跌幅为0.80%。
　　股票  	股价 	涨跌幅
　　新浪  	30 	-1.12%
　　网易  	41.99 	-0.14%
　　搜狐  	61.1 	-2.18%
　　百度  	330.06 	-2.79%
　　分众传媒  	8.96 	-0.33%
　　盛大  	48.96 	-4.30%
　　巨人网络  	7.55 	-3.33%
　　畅游  	37.76 	-0.47%
　　第九城市  	7.5 	-8.65%
　　完美时空  	38.15 	-3.93%
　　携程网  	48.94 	0.18%
　　金融界  	9.57 	-0.31%
　　艺龙  	7.75 	-1.27%
　　前程无忧  	12.77 	-3.04%
　　掌上灵通  	2.15 	-3.59%
　　空中网  	11.5 	-3.52%
　　华友世纪  	3.54 	-0.84%
　　易居中国  	19.07 	-0.37%
　　如家快捷  	24.07 	-5.24%
　　新东方  	70.65 	0.14%
　　正保远程教育  	7.4 	-3.96%
　　华视传媒  	5.64 	-2.76%
　　航美传媒  	7.33 	0.41%
　　新华悦动传媒  	1.58 	-4.82%
　　永新视博  	7.29 	-1.88%
　　UT斯达康  	1.64 	-4.65%
　　展讯通信  	3.11 	-6.33%
　　亚信科技  	17.22 	-2.66%
　　中芯国际  	2.5 	-2.72%
　　中星微电子  	3.19 	0.95%
　　炬力  	2.27 	-2.99%
　　侨兴环球  	1.96 	-3.92%
　　德信无线  	2.5 	-3.85%
　　无锡尚德  	14.21 	-5.58%
　　文思信息  	13.67 	-2.29%
　　诺亚舟  	4.45 	0.00%
　　中华网  	2.35 	-4.47%
　　CDC软件  	8.47 	-1.97%
　　侨兴移动  	2.82 	-6.62%
　　国人通信  	4.22 	-6.22%

