中国互联网公司周二股价多数上涨
　　新浪科技讯 受利好经济数据推动，美股周二高收。八月份零售额增幅达到三年来最高水平，但批发物价指数增幅是分析师预计的两倍。与此同时，中国互联网公司周二股价多数上涨，其中新华悦动传媒上涨7.23%，无锡尚德上涨6.60%，UT斯达康下跌4.81%。
　　截至收盘，道琼斯工业平均指数上涨了56.61点，至9683.41点，涨幅为0.59%；纳斯达克综合指数上涨了10.86点，至2102.64点，涨幅为0.52%；标准普尔500指数上涨了3.29点，至1052.63点，涨幅为0.31%。
　　股票名称	最新价		涨跌幅
　　新浪		33.32		0.63%
　　网易		42.15		-0.99%
　　搜狐		68.73		4.39%
　　百度		397.49		4.74%
　　分众传媒	10.5		-3.40%
　　盛大		53.21		3.48%
　　巨人网络	7.68		1.99%
　　畅游		41.28		1.83%
　　第九城市	8.14		-0.37%
　　完美时空	44.14		1.66%
　　携程网		55.21		2.72%
　　金融界		9.36		0.86%
　　艺龙		9.73		-1.62%
　　前程无忧	14		1.52%
　　掌上灵通	2		0.00%
　　空中网		14.7		2.51%
　　华友世纪	3.58		-0.56%
　　易居中国	21.68		4.68%
　　如家快捷	29.68		5.44%
　　新东方		75.09		0.44%
　　正保远程教育	7.52		-2.72%
　　华视传媒	6.13		0.49%
　　航美传媒	7.82		0.39%
　　新华悦动传媒	1.78		7.23%
　　永新视博	7.54		-1.05%
　　UT斯达康	1.98		-4.81%
　　展讯通信	3.3		-0.60%
　　亚信科技	17.92		1.82%
　　中芯国际	2.71		0.37%
　　中星微电子	3.56		1.14%
　　炬力		2.39		0.42%
　　侨兴环球	1.88		1.08%
　　德信无线	3.13		3.30%
　　无锡尚德	16.64		6.60%
　　文思信息	15.16		0.73%
　　诺亚舟		5		-2.15%
　　中华网		2.94		6.14%
　　CDC软件		9.33		5.28%
　　侨兴移动	2.91		-0.34%
　　国人通信	4.39		1.15%

