中国互联网公司股价周一多数下跌
　　新浪科技讯 北京时间9月22日凌晨消息，受全球股市下跌影响，美股周一大多下跌，但受科技与医疗相关股票上涨带动，纳指小幅上扬，道指与标准普尔500指数均远离了盘中低点。中国互联网公司股价今日在纳斯达克多数下跌。
　　截至收盘，道琼斯工业平均指数下跌了41.34点，至9778.86点，跌幅为0.42%；纳斯达克综合指数上涨了5.18点，至2138.04点，涨幅为0.24%；标准普尔500指数下跌了3.64点，至1064.66点，跌幅为0.34%。
　　股票 	股价 	涨跌幅
　　新浪 	34.69	-1.34%
　　网易 	43.79	-3.21%
　　搜狐 	68.86	-0.59%
　　百度 	400.25	0.07%
　　分众传媒 	9.25	-1.91%
　　盛大 	53.53	-1.24%
　　巨人网络 	7.73	-0.39%
　　畅游 	38.29	-1.19%
　　第九城市 	8.46	-1.97%
　　完美时空 	43.98	-0.50%
　　携程网 	55.1	-1.69%
　　金融界 	9.24	-4.35%
　　艺龙 	9.71	-1.42%
　　前程无忧 	13.79	-1.71%
　　掌上灵通 	2.07	-1.43%
　　空中网 	15.15	2.64%
　　华友世纪 	3.68	-1.34%
　　易居中国 	21	-4.93%
　　如家快捷 	29.51	-1.67%
　　新东方 	81.52	3.90%
　　正保远程教育 	7.14	-2.19%
　　华视传媒 	6.54	-3.47%
　　航美传媒 	7.96	-2.21%
　　新华悦动传媒 	1.9	4.40%
　　永新视博 	7.66	-2.67%
　　UT斯达康 	2.23	0.00%
　　展讯通信 	3.3	0.61%
　　亚信科技 	18.71	0.54%
　　中芯国际 	2.66	-1.48%
　　中星微电子 	3.52	-0.56%
　　炬力 	2.74	1.48%
　　侨兴环球 	1.93	-1.03%
　　德信无线 	3.43	3.63%
　　无锡尚德 	17.18	1.30%
　　文思信息 	18.67	2.81%
　　诺亚舟 	5.04	-1.18%
　　中华网 	2.78	-0.71%
　　CDC软件 	9.45	0.78%
　　侨兴移动 	2.9	-0.34%
　　国人通信 	4.95	2.27%

