中国互联网公司股价周四几乎全线下跌
　　新浪科技讯 北京时间9月25日凌晨消息，因8月二手房销量下降以及美元升值给大宗商品市场带来压力，美股周四低收。中国互联网公司股价今日在纳斯达克几乎全线下跌。
　　截至收盘，道琼斯工业平均指数下跌了41.11点，至9707.44点，跌幅为0.42%；纳斯达克综合指数下跌了23.81点，至2107.61点，跌幅为1.12%；标准普尔500指数下跌了10.09点，至1050.78点，跌幅为0.95%。
　　股票 	股价 	涨跌幅
　　新浪 	34.22	-0.49%
　　网易 	45.94	-2.26%
　　搜狐 	68.11	-3.43%
　　百度 	390.23	-1.20%
　　分众传媒 	10.49	-1.96%
　　盛大 	56.75	-2.89%
　　巨人网络 	7.87	0.25%
　　畅游 	38.3	-3.86%
　　第九城市 	8.2	-2.50%
　　完美时空 	46.15	-4.83%
　　携程网 	57.12	-1.52%
　　金融界 	8.78	-4.04%
　　艺龙 	9.76	-2.30%
　　前程无忧 	14.07	0.50%
　　掌上灵通 	2.04	-1.45%
　　空中网 	14.96	0.67%
　　华友世纪 	3.7	1.09%
　　易居中国 	20.02	-5.34%
　　如家快捷 	28.73	-3.98%
　　新东方 	79.58	-2.58%
　　正保远程教育 	7.17	-1.77%
　　华视传媒 	7.58	-1.04%
　　航美传媒 	7.56	-2.33%
　　新华悦动传媒 	1.87	-4.59%
　　永新视博 	7.5	-1.06%
　　UT斯达康 	2.03	-7.31%
　　展讯通信 	4.18	0.00%
　　亚信科技 	19.62	-4.90%
　　中芯国际 	2.58	0.00%
　　中星微电子 	3.69	-0.27%
　　炬力 	2.54	-3.79%
　　侨兴环球 	2.19	5.80%
　　德信无线 	3.46	-7.98%
　　无锡尚德 	15.98	-5.44%
　　文思信息 	16.79	-3.28%
　　诺亚舟 	4.99	-0.80%
　　中华网 	2.61	-6.45%
　　CDC软件 	8.95	-3.24%
　　侨兴移动 	2.97	-4.50%
　　国人通信 	4.85	-9.85%

