中国互联网公司周三股价涨跌互现
　　新浪科技讯 北京时间10月8日凌晨消息，美股主要股指周三涨跌互现，金融与能源股有所上涨，但工业、原材料与科技股有所下跌。中国互联网公司周三股价也呈涨跌互现之势。其中盛大游戏下跌5.88%，展讯通信上涨8.13%。
　　截至收盘，道琼斯工业平均指数下跌了5.67点，至9725.58点，跌幅为0.06%；纳斯达克综合指数上涨了6.76点，至2110.33点，涨幅为0.32%；标准普尔500指数上涨了2.85点，至1057.57点，涨幅为0.27%。
　　股票名称	最新价		涨跌幅
　　新浪		39.23		0.26%
　　网易		44.43		-0.11%
　　搜狐		67.78		1.07%
　　百度		413.8		3.19%
　　分众传媒	11.55		-3.51%
　　盛大		48.97		-2.29%
　　盛大游戏	10.41		-5.88%
　　巨人网络	7.04		3.68%
　　畅游		33.77		0.81%
　　第九城市	7.72		-0.39%
　　完美时空	45.17		-1.80%
　　携程网		59.53		0.07%
　　金融界		8.56		0.23%
　　艺龙		11.95		4.46%
　　前程无忧	13.99		1.38%
　　掌上灵通	2.1		-1.41%
　　空中网		14.71		-0.14%
　　华友世纪	4.78		-1.10%
　　易居中国	23		0.00%
　　如家快捷	32.08		-1.17%
　　新东方		82.84		2.36%
　　正保远程教育	6.7		0.75%
　　华视传媒	8.53		7.84%
　　航美传媒	7.12		0.42%
　　新华悦动传媒	1.74		2.36%
　　永新视博	7.02		0.43%
　　UT斯达康	2.15		-1.83%
　　展讯通信	5.45		8.13%
　　亚信科技	20.49		-1.96%
　　中芯国际	2.39		2.14%
　　中星微电子	3.74		1.08%
　　炬力		2.63		-2.23%
　　侨兴环球	1.99		-1.97%
　　德信无线	3.26		-1.21%
　　无锡尚德	14.6		0.27%
　　文思信息	18.9		3.00%
　　诺亚舟		5.01		-2.72%
　　中华网		2.5		-1.96%
　　CDC软件		8.96		-0.67%
　　侨兴移动	2.96		0.00%
　　国人通信	4.75		0.21%

