中国互联网公司股价周二涨跌互现
　　新浪科技讯 北京时间10月14日凌晨消息，因强生销售额低于预期，美股周二小幅下跌。标准普尔500指数结束了连续6个交易日上涨的势头。市场成交略嫌清淡，分析人士认为这是由于有几家大公司即将公布业绩，投资者在此之前持谨慎态度。纳指微涨，中国互联网公司股价周二涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了14.74点，至9871.06点，跌幅为0.15%；纳斯达克综合指数上涨了0.75点，至2139.89点，涨幅为0.04%；标准普尔500指数下跌了3.01点，至1073.18点，跌幅为0.28%。
　　中国互联网公司股价周二涨跌互现，其中，正保远程教育大涨9.59%，报收于7.20美元。
　　股票 	股价 	涨跌幅
　　新浪 	39	1.85%
　　网易 	40.61	5.89%
　　搜狐 	63.41	-0.09%
　　百度 	407.5	-1.45%
　　分众传媒 	11.96	-0.99%
　　盛大 	47.62	0.27%
　　盛大游戏 	9.85	-4.65%
　　巨人网络 	6.79	-0.59%
　　畅游 	30.92	0.19%
　　第九城市 	7.44	-1.72%
　　完美时空 	41.25	-1.79%
　　携程网 	61.01	0.91%
　　金融界 	8.64	-0.46%
　　艺龙 	12.11	0.25%
　　前程无忧 	14.81	3.21%
　　掌上灵通 	2.06	-1.44%
　　空中网 	15.12	0.33%
　　华友世纪 	5.18	3.60%
　　易居中国 	22.57	-1.31%
　　如家快捷 	31.26	0.35%
　　新东方 	82.15	-0.90%
　　正保远程教育 	7.2	9.59%
　　华视传媒 	8.52	-2.29%
　　航美传媒 	7.44	3.19%
　　新华悦动传媒 	1.72	2.38%
　　永新视博 	7.03	-2.23%
　　UT斯达康 	2.07	-0.96%
　　展讯通信 	5.48	3.40%
　　亚信科技 	20.62	-0.82%
　　中芯国际 	2.45	-3.29%
　　中星微电子 	3.85	0.79%
　　炬力 	2.7	1.50%
　　侨兴环球 	2.1	3.45%
　　德信无线 	3.57	0.85%
　　无锡尚德 	15.17	-4.05%
　　文思信息 	19.23	3.39%
　　诺亚舟 	4.5	-3.23%
　　中华网 	2.47	-2.37%
　　CDC软件 	8.56	-1.50%
　　侨兴移动 	3.28	-0.60%
　　国人通信 	4.58	-1.93%

