中国概念股周三收盘涨跌互现
　　新浪科技讯 美国东部时间12月2日16:00(北京时间12月3日5:00)消息，美股主要股指周三涨跌互见，美联储称经济形势正在好转，但金融与能源股的下跌给市场带来压力。中国概念股周三涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了18.90点，至10452.68点，跌幅为0.18%；纳斯达克综合指数上涨了9.22点，至2185.03点，涨幅为0.42%；标准普尔500指数上涨了0.38点，至1109.24点，涨幅为0.03%。
　　中国概念股周三涨跌互现，由于受侨兴环球(Nasdaq:XING)1098万美元出售侨兴通讯(Nasdaq:QXM)消息影响，侨兴环球和侨兴通讯股价周三收盘分别大涨8.63%和8.48%。
　　股票名称  	股票代码  	最新价  	涨跌额  	涨跌幅
　　新浪 	SINA 	46.34 	-0.38 	-0.81%
　　CRIC 	CRIC 	12.95 	-0.02 	-0.15%
　　网易 	NTES 	39.77 	+0.01 	+0.03%
　　搜狐 	SOHU 	55.00 	-1.27 	-2.26%
　　百度 	BIDU 	434.72 	-0.83 	-0.19%
　　分众传媒 	FMCN 	14.50 	+1.10 	+8.21%
　　盛大 	SNDA 	52.67 	-0.41 	-0.77%
　　盛大游戏 	GAME 	10.23 	-0.38 	-3.58%
　　巨人网络 	GA 	7.25 	+0.11 	+1.54%
　　畅游 	CYOU 	32.85 	-0.18 	-0.54%
　　第九城市 	NCTY 	7.67 	-0.10 	-1.29%
　　完美时空 	PWRD 	44.17 	-0.94 	-2.08%
　　携程网 	CTRP 	77.21 	+1.66 	+2.20%
　　金融界 	JRJC 	8.10 	-0.14 	-1.70%
　　艺龙 	LONG 	11.62 	-0.49 	-4.05%
　　前程无忧 	JOBS 	19.00 	+0.20 	+1.06%
　　掌上灵通 	LTON 	1.89 	-0.02 	-1.05%
　　空中网 	KONG 	12.44 	-0.16 	-1.27%
　　华友世纪 	HRAY 	4.86 	+0.05 	+1.04%
　　易居中国 	EJ 	20.82 	+0.31 	+1.51%
　　如家快捷 	HMIN 	35.15 	-1.47 	-4.01%
　　7天酒店 	SVN 	12.86 	+0.65 	+5.32%
　　新东方 	EDU 	73.00 	+1.39 	+1.94%
　　正保远程教育 	DL 	6.90 	0.00 	0.00%
　　华视传媒 	VISN 	10.05 	+0.01 	+0.10%
　　航美传媒 	AMCN 	7.50 	+0.21 	+2.88%
　　新华悦动传媒 	XSEL 	1.06 	+0.01 	+0.95%
　　永新视博 	STV 	6.00 	0.00 	0.00%
　　UT斯达康 	UTSI 	1.75 	0.00 	0.00%
　　展讯通信 	SPRD 	4.61 	-0.04 	-0.86%
　　亚信科技 	ASIA 	27.56 	+1.62 	+6.25%
　　中芯国际 	SMI 	3.17 	+0.01 	+0.32%
　　中星微电子 	VIMC 	4.15 	-0.01 	-0.24%
　　炬力 	ACTS 	2.37 	0.00 	0.00% 	2.40-2.36
　　侨兴环球 	XING 	2.13 	+0.16 	+8.12%
　　德信无线 	CNTF 	3.65 	-0.02 	-0.54%
　　无锡尚德 	STP 	15.43 	-0.10 	-0.64%
　　文思信息 	VIT 	18.21 	-0.10 	-0.55%
　　诺亚舟 	NED 	5.27 	-0.05 	-0.94%
　　中华网 	CHINA 	2.46 	0.00 	0.00%
　　CDC软件 	CDCS 	9.72 	-0.10 	-1.02%
　　侨兴移动 	QXM 	4.98 	+0.38 	+8.26%
　　国人通信 	GRRF 	3.63 	+0.02 	+0.55%

