美股周一平收中国互联网公司涨跌互现
　　新浪科技讯 北京时间12月8日早间消息，美股周一平收，中国互联网公司涨跌互现，其中，亚信大涨22%。
　　截至收盘，道琼斯工业平均指数上涨了1.21点，报收10390.11点，涨幅为0.01%；纳斯达克综合指数下跌了4.74点，报收2189.61点，跌幅为0.22%；标准普尔500指数下跌了2.73点，报收1103.25点，跌幅为0.25%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	43.82	-2.58%
　　CRIC	CRIC	12.62	-0.24%
　　网易	NTES	37.23	-1.30%
　　搜狐	SOHU	52.34	-1.58%
　　百度	BIDU	421	-1.02%
　　分众传媒	FMCN	14.69	0.69%
　　盛大	SNDA	51.64	-0.37%
　　盛大游戏	GAME	9.71	4.30%
　　巨人网络	GA	7.19	1.41%
　　畅游	CYOU	30.99	-2.55%
　　第九城市	NCTY	7.48	-0.27%
　　完美时空	PWRD	43.35	1.71%
　　携程网	CTRP	75.78	0.69%
　　金融界	JRJC	8.01	-0.50%
　　艺龙	LONG	11.11	-0.89%
　　前程无忧	JOBS	19.5	1.88%
　　掌上灵通	LTON	1.86	-1.07%
　　空中网	KONG	11.37	-6.03%
　　华友世纪	HRAY	4.65	-2.92%
　　易居中国	EJ	21.16	-1.54%
　　如家快捷	HMIN	36.6	-3.51%
　　7天酒店	SVN	13.18	-2.01%
　　新东方	EDU	72.79	-0.04%
　　正保远程教育	DL	6.75	-0.44%
　　华视传媒	VISN	10.74	-1.83%
　　航美传媒	AMCN	8	2.04%
　　新华悦动传媒	XSEL	1.09	-0.91%
　　永新视博	STV	6.05	0.50%
　　UT斯达康	UTSI	1.91	4.37%
　　展讯通信	SPRD	4.78	1.70%
　　亚信科技	ASIA	30.71	22.35%
　　中芯国际	SMI	3.14	-2.18%
　　中星微电子	VIMC	4.35	1.87%
　　炬力	ACTS	2.35	0.00%
　　侨兴环球	XING	2.14	-2.28%
　　德信无线	CNTF	3.54	-0.56%
　　无锡尚德	STP	17.05	10.79%
　　文思信息	VIT	17.64	2.26%
　　诺亚舟	NED	5.25	-1.13%
　　中华网	CHINA	2.43	-1.62%
　　CDC软件	CDCS	9.45	-2.07%
　　侨兴移动	QXM	4.37	-5.00%
　　国人通信	GRRF	3.68	-0.81%

