中国互联网公司周四涨跌互现
　　新浪科技讯 北京时间1月8日早间消息，受金融股强劲攀升推动，道指与标准普尔500指数周四有所上扬，收于52周新高。中国互联网公司涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨了33.18点，至10606.86点，涨幅为0.31%；纳斯达克综合指数下跌了1.04点，至2300.05点，跌幅为0.05%；标准普尔500指数上涨了4.54点，至1141.94点，涨幅为0.42%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	45.14	-1.87%
　　CRIC	CRIC	10.83	1.03%
　　网易	NTES	40.56	-3.20%
　　搜狐	SOHU	58.57	-1.86%
　　百度	BIDU	404.63	-1.91%
　　分众传媒	FMCN	17	-0.76%
　　盛大	SNDA	57.62	1.25%
　　盛大游戏	GAME	10.66	-2.20%
　　巨人网络	GA	7.43	-0.54%
　　畅游	CYOU	34.87	-1.83%
　　第九城市	NCTY	8	-3.03%
　　完美时空	PWRD	42.19	-4.57%
　　携程网	CTRP	73.11	-2.43%
　　金融界	JRJC	7.68	1.05%
　　艺龙	LONG	11.19	0.72%
　　前程无忧	JOBS	19	3.04%
　　掌上灵通	LTON	1.98	7.61%
　　空中网	KONG	13.16	-0.60%
　　华友世纪	HRAY	4.25	-0.82%
　　易居中国	EJ	19.37	1.52%
　　如家快捷	HMIN	39	1.17%
　　7天连锁	SVN	13.53	-0.07%
　　新东方	EDU	79.95	1.64%
　　正保远程教育	DL	6.66	-0.30%
　　华视传媒	VISN	11.48	-1.29%
　　航美传媒	AMCN	8.42	-1.52%
　　新华悦动传媒	XSEL	0.81	6.58%
　　永新视博	STV	7	1.45%
　　UT斯达康	UTSI	2.33	3.10%
　　展讯通信	SPRD	5.66	2.91%
　　亚信科技	ASIA	27.92	-2.65%
　　中芯国际	SMI	3.73	-0.27%
　　中星微电子	VIMC	4.84	-0.21%
　　炬力	ACTS	2.43	0.41%
　　侨兴环球	XING	2.48	8.30%
　　德信无线	CNTF	3.32	-3.77%
　　无锡尚德	STP	18.11	-1.25%
　　文思信息	VIT	20.07	-3.79%
　　诺亚舟	NED	5	0.81%
　　中华网	CHINA	2.59	0.39%
　　CDC软件	CDCS	10.64	-4.57%
　　侨兴移动	QXM	3.68	-1.08%
　　国人通信	GRRF	4.57	10.39%

