中国概念股周二涨跌互现 展讯大涨14.26%
　　新浪科技讯 北京时间1月20日消息 周二美国股市收高，基本挽回了上周五所蒙受跌幅，并接近上周四所创52周新高。医疗与科技板块领涨大盘。中国互联网公司股价周二涨跌互现。部分个股上涨明显，昨晚发布财报的新东方股价上涨10.01%，展讯通讯更是大涨了14.26%。
　　美东时间周二下午16:00(北京时间1月20日05:00)，道琼斯工业平均指数上涨115.78点，收于10,725.43点，涨幅1.09%；纳斯达克综合指数上涨32.41点，收于2,320.40点，涨幅1.42%；标准普尔500指数上涨14.20点，收于1,150.23点，涨幅 1.25%。
　　中国互联网公司股价周二涨跌互现。部分个股表现抢眼，昨晚发布财报的新东方股价上涨10.01%，展讯通信更是大涨了14.26%。
　　股票名称	最新价		涨跌幅
　　新浪		44.63		-0.22%
　　CRIC		9.96		0.10%
　　网易		37.2		-0.29%
　　搜狐		62.02		4.75%
　　百度		440.84		-5.74%
　　分众传媒	17.28		0.47%
　　盛大		50.97		-3.83%
　　盛大游戏	10.09		-0.69%
　　巨人网络	7.46		-0.13%
　　畅游		35.74		3.53%
　　第九城市	8.53		0.12%
　　完美时空	41.78		-0.50%
　　携程网		72.98		0.32%
　　金融界		8.35		-1.30%
　　艺龙		12.34		2.49%
　　前程无忧	18.19		-0.60%
　　掌上灵通	1.89		0.00%
　　空中网		12.47		0.89%
　　华友世纪	4		0.00%
　　易居中国	17.12		1.97%
　　如家快捷	35.02		-0.26%
　　7天连锁		13.75		-6.46%
　　新东方		79.35		10.01%
　　正保远程教育	6.78		0.00%
　　华视传媒	10.55		-2.22%
　　航美传媒	8.57		0.76%
　　新华悦动传媒	0.81		0.00%
　　永新视博	6.98		-0.85%
　　UT斯达康	2.38		2.15%
　　展讯通信	6.65		14.26%
　　亚信科技	28.56		-0.83%
　　中芯国际	4.43		-4.73%
　　中星微电子	4.95		0.00%
　　炬力		2.5		0.00%
　　侨兴环球	2.54		0.79%
　　德信无线	3.62		4.93%
　　无锡尚德	15.47		-0.64%
　　文思信息	20.37		5.27%
　　诺亚舟		4.74		-1.46%
　　中华网		2.76		1.85%
　　CDC软件		10.99		0.37%
　　侨兴移动	3.59		1.99%
　　国人通信	3.94		0.00%

