中国互联网公司周四股价多数下跌
　　新浪科技讯 北京时间1月22日凌晨消息 周四美国股市收低，道指今年获得的涨幅全部丧失。奥巴马政府欲采取措施限制商业银行规模的消息以及利空经济数据导致市场情绪低迷。中国互联网公司周四股价多数下跌。
　　美东时间周四下午16:00(北京时间1月22日05:00)，道琼斯工业平均指数下跌213.27点，收于10,389.88点，跌幅2.01%；纳斯达克综合指数下跌25.55点，收于2,265.70点，跌幅1.12%；标准普尔500指数下跌21.56点，收于1,116.48点，跌幅 1.89%。
　　股票名称	最新价		涨跌幅
　　新浪		41.46		-3.85%
　　CRIC		9.2		-4.17%
　　网易		35.75		-1.19%
　　搜狐		60.32		-1.63%
　　百度		439.97		0.07%
　　分众传媒	16.24		-2.05%
　　盛大		51.58		0.47%
　　盛大游戏	9.76		-3.37%
　　巨人网络	7.46		-0.27%
　　畅游		34.92		-1.13%
　　第九城市	7.76		-3.48%
　　完美时空	38.12		-6.34%
　　携程网		33.07		-6.45%
　　金融界		7.92		-4.35%
　　艺龙		11.26		-8.60%
　　前程无忧	15.97		-6.28%
　　掌上灵通	1.79		0.00%
　　空中网		11.13		-7.33%
　　华友世纪	4		0.00%
　　易居中国	16.09		-2.43%
　　如家快捷	32.63		-0.79%
　　7天连锁		13.66		-4.07%
　　新东方		76.43		-0.01%
　　正保远程教育	6.4		0.00%
　　华视传媒	9.77		-3.27%
　　航美传媒	8.5		-0.12%
　　新华悦动传媒	0.79		0.00%
　　永新视博	6.55		-4.93%
　　UT斯达康	2.19		-5.60%
　　展讯通信	6.29		-1.72%
　　亚信科技	25.33		-5.63%
　　中芯国际	4.31		-3.15%
　　中星微电子	4.94		0.00%
　　炬力		2.5		0.00%
　　侨兴环球	2.27		-3.40%
　　德信无线	3.48		-2.79%
　　无锡尚德	14.04		-4.10%
　　文思信息	20.21		0.45%
　　诺亚舟		4.39		-6.40%
　　中华网		2.56		-1.92%
　　CDC软件		10.52		3.04%
　　侨兴移动	3.2		-5.33%
　　国人通信	3.8		0.00%

