版署公布第三批违规网站 天涯中国博客网等在列
　　本网讯 记者 李淼 近日，新闻出版总署根据网络出版监管系统的监测线索，对57家登载《风流艳帝》等13部淫秽色情网络文学作品的网站进行了查处。
　　据了解，这是新闻出版总署自去年年底公布197家登载淫秽色情及低俗内容网站名单，及今年年初公布74家登载淫秽色情网络小说网站名单之后，公布的第三批违规网站名单。此次被查处的网站名单包括飞龙小说网、耽美小说网、书生读吧、四月天原创网、中国博客网等57家。
　　为有效加强网络出版监管，新闻出版总署今后将不定期公布相关违规网站名单，并鼓励社会公众对有关网站及整改效果进行监督，共同营造有利于未成年人健康成长的网络文化环境。
　　第三批违规网站名单如下：
　　1 飞卢小说网
　　2 耽美小说网
　　3 新国学网
　　4 学生小说网
　　5 小说网
　　6 第九中文网
　　7 猪猪文学
　　8 WDA智能站
　　9 小说王
　　10 康贝中文网
　　11 北京爱书
　　12 四月天原创网
　　13 悠悠小说网
　　14 三界中文网
　　15 飞龙小说网
　　16 翠微居
　　17 书生读吧
　　18 N维空间
　　19 北京十大小说网
　　20 时时读书网
　　21 泡泡俱乐部
　　22 19楼
　　23 野狼txt小说下载
　　24 江湖网
　　25 5617网游娱乐
　　26 小说阅读网
　　27 中国当代艺术社区
　　28 若雨中文网
　　29 快眼看书
　　30 无忧书库
　　31 天堂鸟网吧
　　32 皮皮文学网
　　33 一流文学网
　　34 清风小说网
　　35 汉书小说网
　　36 欺负我
　　37 28小说网
　　38 中国博客网
　　39 苍痕书院
　　40 异侠小说
　　41 中国小说库
　　42 中国文学论坛
　　43 小说520
　　44 阿拉丁
　　45 元元小说网
　　46 八旗中文网
　　47 365娱乐休闲网
　　48 幻世中文网
　　49 飞流企业
　　50 写书楼
　　51 免费小说网
　　52 hevin博客
　　53 天蓝小说网
　　54 趣读小说网
　　55 看中文网
　　56 天涯社区
　　57 E书手机论坛

