中国互联网公司周一股价多数上涨
　　新浪科技讯 北京时间2月2日凌晨消息 受埃克森美孚利好财报以及制造业指数创5年新高等利好经济数据推动，周一美国股市收高，各板块普遍攀升。受此影响，中国互联网公司周一股价多数上涨。
　　美东时间周一下午16:00(北京时间2月2日05:00)，道琼斯工业平均指数上涨118.20点，收于10,185.53点，涨幅1.17%；纳斯达克综合指数上涨23.85点，收于2,171.20点，涨幅1.11%；标准普尔500指数上涨15.31点，收于1,089.18点，涨幅1.43%。
　　股票名称		最新价		涨跌幅
　　新浪		36.46		0.83%
　　CRIC		8.87		7.25%
　　网易		32.99		0.58%
　　搜狐		50.22		-0.26%
　　百度		425.68		3.39%
　　分众传媒		13.53		0.82%
　　盛大		46.16		-0.11%
　　盛大游戏		8.51		0.12%
　　巨人网络		7.33		0.14%
　　畅游		32.67		-2.74%
　　第九城市		6.99		2.64%
　　完美时空		38.2		2.44%
　　携程网		32.47		3.77%
　　金融界		7.4		-0.27%
　　艺龙		10.16		1.45%
　　前程无忧		15.73		-1.59%
　　掌上灵通		1.67		-1.76%
　　空中网		9.14		7.91%
　　华友世纪		3.21		-9.07%
　　易居中国		16.74		4.36%
　　如家快捷		31.22		1.50%
　　7天连锁		12.3		1.74%
　　新东方		68.98		1.44%
　　正保远程教育		6.19		3.00%
　　华视传媒		9.07		4.37%
　　航美传媒		7.85		1.03%
　　新华悦动传媒		0.56		-8.12%
　　永新视博		6.54		3.15%
　　UT斯达康		2.22		2.78%
　　展讯通信		6.24		-1.42%
　　亚信科技		25.29		5.82%
　　中芯国际		3.9		5.12%
　　中星微电子		4.57		-0.22%
　　炬力		2.43		2.53%
　　侨兴环球		1.92		-9.00%
　　德信无线		3.18		-1.24%
　　无锡尚德		13.41		-0.74%
　　文思信息		16.3		1.68%
　　诺亚舟		4.17		2.46%
　　中华网		2.35		1.73%
　　CDC软件		10.38		1.37%
　　侨兴移动		2.39		-2.45%
　　国人通信		3.3		3.77%

