中国概念股周四收盘涨跌互现
　　新浪财经讯 北京时间周五凌晨消息 因费城制造业指数好于预期，美股周四连续第三个交易日上扬。中国概念股涨跌互现，其中新华悦动传媒收盘大跌5.54%。
　　截至收盘，道琼斯工业平均指数上涨了83.66点，至10392.90点，涨幅为0.81%；纳斯达克综合指数上涨了15.42点，至2241.71点，涨幅为0.69%；标准普尔500指数上涨了7.24点，至1106.75点，涨幅为0.66%。
　　股票名称	最新价	涨跌幅
　　新浪	38.05	0.05%
　　CRIC	9.13	-0.76%
　　网易	38.13	-0.03%
　　搜狐	50.37	1.98%
　　百度	497.74	2.10%
　　分众传媒	14.53	-0.75%
　　盛大	49.7	2.39%
　　盛大游戏	8.9	1.14%
　　巨人网络	7.4	0.82%
　　畅游	33.17	-0.09%
　　第九城市	6.67	-0.60%
　　完美时空	39.23	0.00%
　　携程网	35.83	2.08%
　　金融界	7.33	0.27%
　　艺龙	10.1	1.41%
　　前程无忧	18.02	-0.88%
　　掌上灵通	1.69	-0.59%
　　空中网	8.55	-0.70%
　　华友世纪	3.02	-2.89%
　　易居中国	17.09	-0.81%
　　如家快捷	33.18	0.58%
　　7天连锁	12.27	2.08%
　　新东方	72.58	0.54%
　　正保远程教育	6.46	0.62%
　　华视传媒	8.69	-3.12%
　　航美传媒	7.22	-3.60%
　　新华悦动传媒	0.69	-5.54%
　　永新视博	6.86	-2.00%
　　UT斯达康	2.09	-2.34%
　　展讯通信	6.65	0.00%
　　亚信科技	24.55	-0.08%
　　中芯国际	4.38	2.82%
　　中星微电子	4.58	-0.43%
　　炬力	2.35	0.00%
　　侨兴环球	1.91	0.53%
　　德信无线	2.95	-1.34%
　　无锡尚德	14.01	-1.48%
　　文思信息	17.83	0.56%
　　诺亚舟	4.17	-0.24%
　　中华网	2.31	0.43%
　　CDC软件	9.77	1.24%
　　侨兴移动	2.5	-4.58%
　　国人通信	3.36	2.44%

