中国互联网公司周二收盘涨跌互现
　　新浪科技讯 北京时间3月24日凌晨消息 周二美国股市收高。美元汇率涨幅收窄，Carnival及中国银行等企业宣布盈利状况改善，钢铁及计算机市场需求提高，这些消息增强了投资者对经济持续复苏的信心。中国互联网公司周二收盘股价涨跌互现。
　　美东时间周二16:00(北京时间3月24日04:00)，道琼斯工业平均指数上涨102.94点，收于10,888.83点，涨幅 0.95%；纳斯达克综合指数上涨19.84点，收于2,415.24点，涨幅0.83%；标准普尔500指数上涨8.36点，收于1,174.17点，涨幅0.72%。
　　中国互联网公司周二收盘股价涨跌互现。
　　股票名称	最新价		涨跌幅
　　新浪		38.71		-2.79%
　　CRIC		9.57		1.59%
　　网易		38.89		-3.28%
　　搜狐		54.19		-1.04%
　　百度		594.88		2.62%
　　分众传媒	17		-1.79%
　　盛大		40.57		-1.84%
　　盛大游戏	6.67		-0.45%
　　巨人网络	7.58		1.34%
　　畅游		31.09		-1.43%
　　第九城市	6.86		-2.70%
　　完美时空	41.73		-0.76%
　　携程网		37.64		2.37%
　　金融界		7.6		-0.39%
　　艺龙		11.16		1.45%
　　前程无忧	18.1		0.28%
　　掌上灵通	1.75		5.42%
　　空中网		8.85		-0.11%
　　华友世纪	3.45		-2.82%
　　易居中国	18.56		-0.27%
　　如家快捷	33.27		0.09%
　　7天连锁		9.94		-0.60%
　　新东方		87.9		1.15%
　　正保远程教育	5.94		2.41%
　　华视传媒	4.81		-0.82%
　　航美传媒	6.06		-1.30%
　　新华悦动传媒	0.6		0.00%
　　永新视博	7.62		-2.18%
　　UT斯达康	2.38		-0.42%
　　展讯通信	6.15		-0.81%
　　亚信科技	27.5		-0.09%
　　中芯国际	5.18		-1.33%
　　中星微电子	4.49		1.13%
　　炬力		2.36		0.85%
　　侨兴环球	1.93		0.00%
　　德信无线	2.84		1.79%
　　无锡尚德	13.99		-0.57%
　　文思信息	20.82		0.34%
　　诺亚舟		5.36		1.13%
　　中华网		2.79		4.89%
　　CDC软件		11.19		1.27%
　　侨兴移动	2.28		-0.87%
　　国人通信	3.38		0.00%

