中国互联网公司周二收盘涨跌互现
　　新浪科技讯 美国东部时间4月13日16:00(北京时间4月14日4:00)消息，周二美国股市小幅收高。尽管美国铝业第一财季财报令人失望，但投资者对科技与金融业企业即将公布的财报抱有乐观预期。中国互联网公司周二涨跌互现。
　　截至收盘，纳斯达克综合指数上涨8.12点，收于2,465.99点，涨幅0.33%；道琼斯工业平均指数上涨13.37点，收于11,019.34点，涨幅0.12%；标准普尔500指数上涨0.82点，收于1,197.30点，涨幅0.07%。
　　中国互联网公司周二收盘涨跌互现。新华悦动传媒(Nasdaq:XSEL)涨6.23%，华视传媒(Nasdaq:VISN)跌4.23%。
　　股票名称		最新价		涨跌幅
　　新浪		39.39		-1.70%
　　CRIC		9.95		-0.10%
　　网易		36.25		0.67%
　　搜狐		53.07		-1.50%
　　百度		626.66		0.08%
　　分众传媒		17.67		-2.97%
　　盛大		44.88		-0.09%
　　盛大游戏		7.47		-0.53%
　　巨人网络		8.04		-0.12%
　　畅游		31.71		-0.81%
　　第九城市		7.03		0.00%
　　完美时空		36.39		-1.41%
　　携程网		38.67		-0.05%
　　金融界		7.55		-0.26%
　　艺龙		11.64		3.47%
　　前程无忧		19.26		-2.18%
　　掌上灵通		1.73		1.17%
　　空中网		8		-2.91%
　　华友世纪		3.39		1.80%
　　易居中国		19.88		0.05%
　　如家快捷		33.98		-1.51%
　　7天连锁		11.21		-0.36%
　　新东方		90.02		1.86%
　　正保远程教育		5.79		1.05%
　　华视传媒		4.75		-4.23%
　　航美传媒		6.1		1.33%
　　新华悦动传媒		0.7		6.23%
　　永新视博		7.4		1.37%
　　UT斯达康		3.09		2.66%
　　展讯通信		5.96		-0.83%
　　亚信科技		27.43		-2.04%
　　中芯国际		6.09		-0.33%
　　中星微电子		4.45		-1.77%
　　炬力		2.32		0.43%
　　侨兴环球		1.88		0.00%
　　德信无线		2.6		-1.14%
　　无锡尚德		14.51		-0.55%
　　文思信息		24.82		-1.27%
　　诺亚舟		5.11		-1.35%
　　中华网		3.1		-2.82%
　　CDC软件		10.6		-3.64%
　　侨兴移动		2.91		-0.34%
　　国人通信		2.82		0.00%
　　汉庭连锁酒店		15.81		-2.35%

