中国互联网公司周三股价多数下跌
　　新浪科技讯 北京时间5月20日凌晨消息，周三美国股市收低，盘面波动较大。受此影响，中国互联网公司周三股价多数下跌。
　　美东时间5月19日16:00(北京时间5月20日04:00)，道琼斯工业平均指数下跌66.58点，收于10,444.37点，跌幅0.63%；纳斯达克综合指数下跌18.89点，收于2,298.37点，跌幅0.82%；标准普尔500指数下跌5.77点，收于1,115.03点，跌幅 0.51%。
　　股票名称	股票代码	最新价		涨跌幅
　　新浪	SINA	36.29		-3.41%
　　CRIC	CRIC	8.3		3.75%
　　网易	NTES	31.11		-0.70%
　　搜狐	SOHU	44.3		-2.25%
　　百度	BIDU	70.13		-2.01%
　　分众传媒	FMCN	15.66		-4.98%
　　盛大	SNDA	41.77		-2.04%
　　盛大游戏	GAME	5.6		-1.93%
　　巨人网络	GA	7.15		0.00%
　　畅游	CYOU	28.02		-2.54%
　　第九城市	NCTY	4.7		-1.67%
　　完美时空	PWRD	26		-4.41%
　　携程网	CTRP	38		0.08%
　　金融界	JRJC	6.52		-4.54%
　　艺龙	LONG	10.62		-2.12%
　　前程无忧	JOBS	20.24		-0.78%
　　掌上灵通	LTON	1.53		-3.77%
　　空中网	KONG	6.63		-1.04%
　　华友世纪	HRAY	3.16		-1.25%
　　易居中国	EJ	14.54		-4.03%
　　如家快捷	HMIN	35.5		-0.28%
　　7天连锁	SVN	11.72		-2.98%
　　新东方	EDU	91.64		-1.84%
　　正保远程教育	DL	4.91		-5.77%
　　华视传媒	VISN	3.21		-7.49%
　　航美传媒	AMCN	4.59		-0.22%
　　新华悦动传媒	XSEL	0.38		-0.05%
　　永新视博	STV	6.48		-1.67%
　　UT斯达康	UTSI	2.05		0.49%
　　展讯通信	SPRD	9.26		-2.11%
　　亚信科技	ASIA	20.94		-3.06%
　　中芯国际	SMI	3.98		-2.69%
　　中星微电子	VIMC	4.88		-1.61%
　　炬力	ACTS	2.21		-2.21%
　　侨兴环球	XING	1.54		-3.75%
　　德信无线	CNTF	2.25		-2.17%
　　无锡尚德	STP	9.51		-1.86%
　　文思信息	VIT	19.45		-7.07%
　　诺亚舟	NED	4.05		-3.11%
　　中华网	CHINA	2.22		-3.90%
　　CDC软件	CDCS	8.97		0.56%
　　侨兴移动	QXM	2.26		-4.24%
　　国人通信	GRRF	1.97		-7.94%
　　汉庭连锁酒店	HTHT	14.5		-3.65%

