中国互联网公司周二股价涨跌互现
　　新浪科技讯 北京时间6月9日凌晨消息，受到伯南克关于美国经济不会二次探底的讲话推动，周二美国股市大体收高，但科技板块小幅收低。全天盘面较为波动，在大宗商品及金融股的推动下，主要股指在尾盘大幅攀升。中国互联网公司周二股价涨跌互现。
　　美东时间6月8日16:00(北京时间6月9日04:00)，道琼斯工业平均指数上涨123.49点，收于 9,939.98点，涨幅1.26%；纳斯达克综合指数下跌3.33点，收于2,170.57点，跌幅0.15%；标准普尔500指数上涨11.53点，收于1,062.00点，涨幅1.10%。
　　股票名称  	股票代码  	最新价  		涨跌幅
　　新浪 	SINA 	35.16		0.14%
　　CRIC 	CRIC 	7.66		-0.91%
　　网易 	NTES 	30.22		-0.53%
　　搜狐 	SOHU 	42.21		-0.66%
　　百度 	BIDU 	69.85		0.06%
　　分众传媒 	FMCN 	15.14		2.30%
　　盛大 	SNDA 	42.7		1.45%
　　盛大游戏 	GAME 	5.15		-1.53%
　　巨人网络 	GA 	7.08		-0.98%
　　畅游 	CYOU 	27.26		0.48%
　　第九城市 	NCTY 	4.19		-0.47%
　　完美时空 	PWRD 	22.48		-3.73%
　　携程网 	CTRP 	36.41		0.50%
　　金融界 	JRJC 	6.94		-1.70%
　　艺龙 	LONG 	13.5		3.45%
　　前程无忧 	JOBS 	19.84		2.53%
　　掌上灵通 	LTON 	1.47		1.38%
　　空中网 	KONG 	6.14		-1.13%
　　华友世纪 	HRAY 	3.39		5.28%
　　易居中国 	EJ 	13.56		0.52%
　　如家快捷 	HMIN 	37.03		2.86%
　　7天连锁 	SVN 	10.47		-6.27%
　　新东方 	EDU 	88.77		-2.69%
　　正保远程教育 	DL 	4.33		-1.14%
　　华视传媒 	VISN 	2.64		0.38%
　　航美传媒 	AMCN 	3.94		-0.25%
　　新华悦动传媒 	XSEL 	0.35		-0.49%
　　永新视博 	STV 	5.27		-2.41%
　　UT斯达康 	UTSI 	1.71		-2.84%
　　展讯通信 	SPRD 	9.18		-4.28%
　　亚信科技 	ASIA 	20.08		1.16%
　　中芯国际 	SMI 	4.03		-0.49%
　　中星微电子 	VIMC 	4.8		-0.62%
　　炬力 	ACTS 	2.07		2.48%
　　侨兴环球 	XING 	1.41		-0.01%
　　德信无线 	CNTF 	2.47		-1.98%
　　无锡尚德 	STP 	8.55		-1.61%
　　文思信息 	VIT 	20.98		6.71%
　　诺亚舟 	NED 	4.06		-1.22%
　　中华网 	CHINA 	1.87		-4.59%
　　CDC软件 	CDCS 	8.16		2.00%
　　侨兴移动 	QXM 	2.37		-2.47%
　　国人通信 	GRRF 	1.67		-5.11%
　　汉庭连锁酒店 	HTHT 	13.9		-1.07%

