中国概念股周二收盘多数上涨 华友世纪跌13%
　　新浪科技讯 北京时间6月16日凌晨消息 周二美国股市大幅收高，科技及工业板块领涨。市场对欧元区的担心情绪有所减缓，计算机销售强劲增长的消息推动科技板块大幅攀升。中国互联网公司周二收盘股价多数上涨，华友世纪下跌13.27%。
　　美东时间6月15日16:00(北京时间6月15日04:00)，道琼斯工业平均指数上涨213.88点，报10,404.77点，涨幅2.10%；纳斯达克综合指数上涨61.92点，报2,305.88点，涨幅2.76%；标准普尔500指数上涨25.60点，报1,115.23点，涨幅2.35%。
　　中国互联网公司周二收盘股价多数上涨，华友世纪下跌13.27%，报收于2.81美元。
　　股票名称	最新价		涨跌幅
　　新浪		37.61		2.59%
　　CRIC		8.94		3.95%
　　网易		31		0.10%
　　搜狐		43.98		1.03%
　　百度		75.37		3.35%
　　分众传媒	16.43		0.72%
　　盛大		40.5		-0.74%
　　盛大游戏	5.62		3.31%
　　巨人网络	7.29		2.10%
　　畅游		29.09		0.24%
　　第九城市	4.04		-0.74%
　　完美时空	25.96		2.37%
　　携程网		42.4		7.61%
　　金融界		7.23		-2.30%
　　艺龙		12.95		0.08%
　　前程无忧	20.1		0.50%
　　掌上灵通	1.41		2.17%
　　空中网		6.06		0.00%
　　华友世纪	2.81		-13.27%
　　易居中国	14.66		1.52%
　　如家快捷	40.8		4.47%
　　7天连锁		10.75		5.08%
　　新东方		98.93		3.73%
　　正保远程教育	4		-2.68%
　　华视传媒	2.63		0.38%
　　航美传媒	3.92		-0.38%
　　新华悦动传媒	0.35		0.31%
　　永新视博	6.01		4.34%
　　UT斯达康	1.98		5.32%
　　展讯通信	9.69		1.68%
　　亚信科技	22.71		6.02%
　　中芯国际	4.17		-0.71%
　　中星微电子	5.1		2.62%
　　炬力		2.16		1.41%
　　侨兴环球	1.73		6.79%
　　德信无线	2.63		1.15%
　　无锡尚德	10.25		4.49%
　　文思信息	22.02		2.42%
　　诺亚舟		4.21		0.72%
　　中华网		2.14		1.90%
　　CDC软件		8.07		-0.37%
　　侨兴移动	2.71		3.04%
　　国人通信	2.14		6.47%
　　汉庭连锁酒店	14.08		0.57%

