中国互联网公司周三收盘多数上涨
　　新浪科技讯 北京时间7月8日凌晨消息 周三美国股市大幅收高，道指收复万点关口。市场普遍看好即将公布的企业财报，欧洲银行压力测试的一些具体细节消息也在一定程度上消除了不确定性因素。中国互联网公司周三收盘股价多数上涨。
　　美东时间7月7日16:00(北京时间7月8日04:00)，道琼斯工业平均指数上涨274.66点，收于10,018.28点，涨幅2.82%；纳斯达克综合指数上涨65.59点，收于2,159.47点，涨幅3.13%；标准普尔500指数上涨32.21点，收于1,060.27点，涨幅3.13%。
　　股票名称	最新价		涨跌幅
　　新浪		35.9		3.70%
　　CRIC		7.7		1.99%
　　网易		33.48		1.24%
　　搜狐		41.99		2.41%
　　百度		72.37		7.29%
　　分众传媒	15.99		5.09%
　　盛大		37.25		0.92%
　　盛大游戏	5.67		1.07%
　　巨人网络	7.06		2.62%
　　畅游		26.75		-0.19%
　　第九城市	4.13		-0.72%
　　完美时空	23.91		4.68%
　　携程网		34.4		4.85%
　　金融界		6.99		-0.57%
　　艺龙		12.21		1.75%
　　前程无忧	19.72		1.65%
　　掌上灵通	1.37		-0.72%
　　空中网		6.02		-0.17%
　　华友世纪	2.59		-0.77%
　　易居中国	15.32		3.51%
　　如家快捷	38.66		3.65%
　　7天连锁		11.71		6.65%
　　新东方		96.29		3.67%
　　正保远程教育	3.48		1.16%
　　华视传媒	3.1		2.65%
　　航美传媒	2.99		3.82%
　　新华悦动传媒	0.33		1.54%
　　永新视博	5.77		3.78%
　　UT斯达康	1.97		4.79%
　　展讯通信	8.95		7.19%
　　亚信科技	23.64		4.88%
　　中芯国际	3.92		0.00%
　　中星微电子	4.5		0.00%
　　炬力		2.18		1.40%
　　侨兴环球	1.46		0.00%
　　德信无线	2.6		2.36%
　　无锡尚德	10.24		5.89%
　　文思信息	24.16		4.18%
　　诺亚舟		3.69		5.73%
　　中华网		2.17		5.34%
　　CDC软件		7.6		-1.55%
　　侨兴移动	2.49		2.05%
　　国人通信	1.63		3.16%
　　汉庭连锁酒店	14.9		-1.52%

