中国概念股周五涨跌互现 新华悦动传媒大涨23%
　　新浪科技讯 北京时间9月11日凌晨消息，周五美国股市收高。美国商业库存及中国进口数据超出市场预期，增强了投资者对全球经济增长的信心。全球石油需求增加的预期使能源板块上扬，但公用事业板块普遍走低。中国互联网公司周五涨跌互现，且涨跌浮均未超过3%，新华悦动传媒一支独秀，大涨22.63%。
　　美东时间9月10日16:00(北京时间9月11日04:00)，道琼斯工业平均指数上涨47.98点，收于10,463.22点，涨幅0.46%；纳斯达克综合指数上涨6.28点，收于2,242.48点，涨幅0.28%；标准普尔500指数上涨5.39点，收于1,109.57点，涨幅0.49%。
　　中国互联网公司周五涨跌互现，且涨跌幅均未超过3%。新华悦动传媒逆势大涨22.63%，上涨0.05美元，报收于0.25美元。
　　股票　最新价　涨跌幅
　　新浪　43.33　0.02%
　　CRIC　7.88　0.38%
　　网易　38.41　-0.21%
　　搜狐　52.77　-0.96%
　　百度　84.33　0.60%
　　分众传媒　20.36　2.83%
　　盛大　38.66　-0.57%
　　盛大游戏　5.33　-1.66%
　　巨人网络　6.09　-0.33%
　　畅游　25.93　-0.69%
　　第九城市　5.63　-0.71%
　　完美时空　25.06　-2.34%
　　携程网　41.24　2.03%
　　金融界　7.06　0.71%
　　艺龙　16.86　0.60%
　　前程无忧　27.81　0.83%
　　掌上灵通　1.5　0.00%
　　空中网　5.81　2.47%
　　酷6传媒　3.01　-1.31%
　　易居中国　17.11　0.06%
　　如家快捷　48.73　-0.20%
　　7天连锁　15.86　-1.12%
　　新东方　102.02　0.34%
　　正保远程教育　5　-2.72%
　　华视传媒　3.69　-1.07%
　　航美传媒　3.77　-3.08%
　　新华悦动传媒　0.25　22.63%
　　永新视博　7.41　0.82%
　　UT斯达康　2　0.00%
　　展讯通信　11.29　-2.08%
　　亚信科技　16.54　-1.20%
　　中芯国际　3.26　-0.61%
　　中星微电子　3.4　0.59%
　　炬力　2.14　-0.47%
　　侨兴环球　1.55　-1.27%
　　德信无线　3.52　-0.85%
　　无锡尚德　8.97　0.56%
　　文思信息　29.57　-0.54%
　　诺亚舟　2.01　3.08%
　　中华网　1.51　-1.31%
　　CDC软件　5.71　-0.17%
　　侨兴移动　3.35　-1.76%
　　国人通信　1.76　-0.46%
　　汉庭连锁酒店　23.84　-0.17%
　　新浪科技讯 北京时间9月11日凌晨消息，周五美国股市收高。美国商业库存及中国进口数据超出市场预期，增强了投资者对全球经济增长的信心。全球石油需求增加的预期使能源板块上扬，但公用事业板块普遍走低。中国互联网公司周五涨跌互现，且涨跌浮均未超过3%，新华悦动传媒一支独秀，大涨22.63%。
　　美东时间9月10日16:00(北京时间9月11日04:00)，道琼斯工业平均指数上涨47.98点，收于10,463.22点，涨幅0.46%；纳斯达克综合指数上涨6.28点，收于2,242.48点，涨幅0.28%；标准普尔500指数上涨5.39点，收于1,109.57点，涨幅0.49%。
　　中国互联网公司周五涨跌互现，且涨跌幅均未超过3%。新华悦动传媒逆势大涨22.63%，上涨0.05美元，报收于0.25美元。
　　股票　最新价　涨跌幅
　　新浪　43.33　0.02%
　　CRIC　7.88　0.38%
　　网易　38.41　-0.21%
　　搜狐　52.77　-0.96%
　　百度　84.33　0.60%
　　分众传媒　20.36　2.83%
　　盛大　38.66　-0.57%
　　盛大游戏　5.33　-1.66%
　　巨人网络　6.09　-0.33%
　　畅游　25.93　-0.69%
　　第九城市　5.63　-0.71%
　　完美时空　25.06　-2.34%
　　携程网　41.24　2.03%
　　金融界　7.06　0.71%
　　艺龙　16.86　0.60%
　　前程无忧　27.81　0.83%
　　掌上灵通　1.5　0.00%
　　空中网　5.81　2.47%
　　酷6传媒　3.01　-1.31%
　　易居中国　17.11　0.06%
　　如家快捷　48.73　-0.20%
　　7天连锁　15.86　-1.12%
　　新东方　102.02　0.34%
　　正保远程教育　5　-2.72%
　　华视传媒　3.69　-1.07%
　　航美传媒　3.77　-3.08%
　　新华悦动传媒　0.25　22.63%
　　永新视博　7.41　0.82%
　　UT斯达康　2　0.00%
　　展讯通信　11.29　-2.08%
　　亚信科技　16.54　-1.20%
　　中芯国际　3.26　-0.61%
　　中星微电子　3.4　0.59%
　　炬力　2.14　-0.47%
　　侨兴环球　1.55　-1.27%
　　德信无线　3.52　-0.85%
　　无锡尚德　8.97　0.56%
　　文思信息　29.57　-0.54%
　　诺亚舟　2.01　3.08%
　　中华网　1.51　-1.31%
　　CDC软件　5.71　-0.17%
　　侨兴移动　3.35　-1.76%
　　国人通信　1.76　-0.46%
　　汉庭连锁酒店　23.84　-0.17%

