中国互联网公司周四收盘涨跌互现
　　新浪科技讯 北京时间10月8日凌晨消息，周四美国股市收盘涨跌不一。企业财报季将至、9月就业数据即将公布，市场情绪紧张。零售业销售业绩好于预期，推动零售商板块上扬。中国互联网公司周四收盘股价涨跌互现。
　　美东时间10月7日16:00(北京时间10月8日04:00)，道琼斯工业平均指数下跌19.07点，收于10,948.58点，跌幅 0.17%；纳斯达克综合指数上涨3.01点，收于2,383.67点，涨幅0.13%；标准普尔500指数下跌1.91点，收于1,158.06点，跌幅0.16%。
　　股票名称	最新价		涨跌幅
　　新浪		49.98		1.81%
　　CRIC		10.11		-4.80%
　　网易		38.12		0.42%
　　搜狐		58.64		0.21%
　　百度		98.49		0.09%
　　分众传媒	24.12		-4.44%
　　盛大		39.22		-0.23%
　　盛大游戏	6.03		0.50%
　　巨人网络	6.27		-0.48%
　　畅游		28.62		-0.28%
　　第九城市	5.19		-0.19%
　　完美时空	26.13		-0.53%
　　携程网		46.52		0.98%
　　金融界		7.12		0.56%
　　艺龙		17.97		4.96%
　　前程无忧	36.26		-3.56%
　　掌上灵通	1.4		0.72%
　　空中网		6.25		0.32%
　　酷6传媒		4.35		0.69%
　　易居中国	18.5		-0.70%
　　如家快捷	49		-0.02%
　　7天连锁		17.87		2.17%
　　新东方		90.86		0.71%
　　正保远程教育	5.08		2.42%
　　华视传媒	4.28		-4.25%
　　航美传媒	5.71		-0.70%
　　新华悦动传媒	0.22		3.95%
　　永新视博	6.98		2.20%
　　UT斯达康	2.4		0.84%
　　展讯通信	12.09		-2.11%
　　亚信科技	19.92		-0.90%
　　中芯国际	3.66		0.27%
　　中星微电子	3.75		-1.57%
　　炬力		2.01		0.50%
　　侨兴环球	1.51		-1.31%
　　德信无线	3.65		-0.27%
　　无锡尚德	8.89		0.68%
　　文思信息	31.29		-1.01%
　　诺亚舟		2.13		6.50%
　　中华网		4.43		0.68%
　　CDC软件		6.6		-0.90%
　　侨兴移动	3.4		0.89%
　　国人通信	2.3		2.22%
　　汉庭连锁酒店	22.5		-0.22%
　　大华建设	0.74		4.18%
　　搜房网		64.75		-2.34%
　　蓝汛		24.12		-7.76%

