中国概念股周一多数上涨 新浪涨6%再创历史新高
　　新浪科技讯 北京时间11月9日凌晨消息，周一美国股市收盘涨跌不一。市场担心美联储最近采取的行动能否奏效。欧元区国家债务问题再度露头，也加深了市场担心情绪。中国概念股多数上涨，新浪涨5.85%报收于62.60美元，再创2000年4月上市以来的十年新高。51JOB、搜狐和搜房分别涨9.52%、8.47%和7.53%，均创52周新高，学大教育集团跌5.37%，跌至IPO以来新低。
　　美东时间11月8日16:00(北京时间11月9日05:00)，道琼斯工业平均指数下跌37.16点，收于11,406.92点，跌幅0.32%；纳斯达克综合指数上涨1.07点，收于2,580.05点，涨幅0.04%；标准普尔500指数下跌2.61点，收于1,223.24点，跌幅0.21%。
　　中国概念股周一多数上涨。新浪涨5.85%，报收于62.60美元，再创2000年4月上市以来的十年新高；51JOB、搜狐和搜房分别涨9.52%、8.47%和7.53%，报收于49.33、80.32和83.00美元，均创52周新高；学大教育集团则跌5.37%，报收于7.75美元，跌至IPO以来新低。
　　股票　最新价　涨跌幅
　　新浪　62.6　5.85%
　　CRIC　10.33　7.05%
　　网易　43.11　4.92%
　　搜狐　80.32　8.47%
　　百度　110.22　1.31%
　　分众传媒　26.09　0.35%
　　盛大　40.51　0.97%
　　盛大游戏　6.33　0.48%
　　巨人网络　7.06　0.43%
　　畅游　32.59　2.00%
　　第九城市　6.83　0.00%
　　完美时空　31.82　-0.56%
　　携程网　47.32　-0.42%
　　金融界　8.38　-1.53%
　　艺龙　20　-0.74%
　　前程无忧　49.27　9.39%
　　掌上灵通　1.42　-2.07%
　　空中网　7.76　4.90%
　　酷6传媒　5.07　-2.50%
　　易居中国　17.4　0.58%
　　如家快捷　45.14　-1.74%
　　7天连锁　19.7　3.79%
　　新东方　103.36　-0.62%
　　正保远程教育　5.44　1.11%
　　华视传媒　3.92　-1.26%
　　航美传媒　7.22　2.85%
　　新华悦动传媒　0.28　5.67%
　　永新视博　6.9　-0.86%
　　UT斯达康　2.2　4.27%
　　展讯通信　16.7　3.79%
　　亚信科技　20.6　0.68%
　　中芯国际　4.25　0.71%
　　中星微电子　3.77　-0.26%
　　炬力　2.09　0.97%
　　侨兴环球　1.87　5.79%
　　德信无线　4　-0.50%
　　无锡尚德　9.25　-0.54%
　　文思信息　38　1.77%
　　诺亚舟　2.08　1.46%
　　中华网　4.65　0.22%
　　CDC软件　7.2　2.56%
　　侨兴移动　4.04　4.66%
　　国人通信　2.74　-1.08%
　　汉庭连锁酒店　23.05　5.73%
　　大华建设　0.85　6.25%
　　搜房网　83　7.53%
　　蓝汛　27.65　6.80%
　　高德软件　21.02　-1.82%
　　麦考林　14.5　-1.29%

